;B;B
age;have;not
0-5;817.87;1573.2
6-10;367.6;630.13
11-15;240;363.2
16-20;225.33;330.93
21-25;285.47;454.13
26-30;354.4;600.8
31-35;436.53;816.4
36-40;539.2;1165.47
41-45;631.6;1601.07
46-50;826.67;2401.87
51-55;1040.8;3190.93
56-60;1344.4;4090
61-65;1815.2;5490.67
66-70;2308;7020.4
71-75;3038.4;9286.4
76-80;3754.13;11432.13
