35,4310. 4 ,1553. 6 ,973. 2    ,538. 4,421. 9,379. 1,4336. 9 ,1562. 1 ,978. 0    ,540. 7,422. 4,377. 7
36,4384. 3 ,1581. 5 ,991. 0    ,549. 0,431. 6,389. 0,4411. 7 ,1590. 3 ,996. 2    ,551. 3,431. 9,387. 4
37,4462. 6 ,1611. 1 ,1010. 1 ,560. 4,442. 0,399. 7,4491. 1 ,1620. 2 ,1015. 4 ,562. 8,442. 1,397. 8
38,4545. 9 ,1642. 6 ,1030. 4 ,572. 7,453. 2,411. 3,4575. 4 ,1652. 0 ,1035. 9 ,575. 1,453. 1,409. 1
39,4634. 2 ,1676. 1 ,1052. 0 ,586. 0,465. 2,423. 9,4665. 0 ,1685. 9 ,1057. 7 ,588. 4,465. 0,421. 3
40,4728. 3 ,1711. 9 ,1075. 0 ,600. 4,478. 3,437. 7,4760. 2 ,1722. 0 ,1081. 0 ,602. 7,477. 8,434. 5
41,4828. 6 ,1750. 0 ,1099. 7 ,616. 0,492. 5,,4861. 6 ,1760. 6 ,1105. 9 ,618. 0,491. 7,
42,4935. 4 ,1790. 8 ,1126. 5 ,632. 8,508. 0,,4969. 8 ,1801. 7 ,1133. 0 ,634. 7,506. 6,
43,5049. 5 ,1834. 4 ,1155. 8 ,651. 1,524. 7,,5085. 2 ,1846. 0 ,1162. 3 ,652. 6,522. 9,
44,5171. 4 ,1882. 2 ,1187. 7 ,670. 9,543. 1,,5208. 7 ,1894. 1 ,1194. 0 ,672. 1,540. 7,
45,5302. 1 ,1934. 5 ,1222. 4 ,692. 4,563. 2,,5340. 9 ,1946. 4 ,1228. 3 ,693. 1,560. 1,
46,5442. 1 ,1991. 6 ,1260. 2 ,716. 0,,,5482. 7 ,2003. 1 ,1265. 5 ,716. 1,,
47,5594. 5 ,2053. 9 ,1301. 4 ,741. 7,,,5637. 3 ,2064. 6 ,1306. 0 ,741. 1,,
48,5763. 0 ,2121. 9 ,1346. 3 ,769. 8,,,5806. 2 ,2131. 5 ,1350. 0 ,768. 5,,
49,5948. 2 ,2196. 2 ,1395. 5 ,800. 8,,,5990. 4 ,2204. 5 ,1398. 0 ,798. 5,,
50,6151. 3 ,2277. 6 ,1449. 5 ,835. 1,,,6191. 2 ,2284. 1 ,1450. 7 ,831. 6,,
51,6374. 0 ,2367. 1 ,1508. 9 ,,,,6410. 4 ,2371. 2 ,1508. 3 ,,,
52,6618. 3 ,2465. 5 ,1574. 5 ,,,,6650. 1 ,2466. 9 ,1571. 6 ,,,
53,6887. 5 ,2574. 3 ,1647. 3 ,,,,6912. 8 ,2572. 2 ,1641. 8 ,,,
54,7184. 5 ,2695. 2 ,1728. 4 ,,,,7201. 9 ,2688. 8 ,1719. 6 ,,,
55,7513. 6 ,2830. 0 ,1819. 1 ,,,,7520. 8 ,2818. 1 ,1806. 2 ,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
