新版六类职业分类表,,,,,,,,,,对应类别,,,
行业,,,,,,工种名称,,,工种代码,寿险、重疾及意外险,,,医疗保险
,,,,,钣金工人,,,,802002,4,,,1.25
,,,,,质量检验人员,,,,802003,2,,,标准
,,,,,工程师,,,,802019,2,,,标准
,,,,,装配工人,,,,802005,4,,,1.25
,,,,,焊接工人,,,,802006,5,,,1.5
,,,,,车床工人(全自动),,,,802007,5,,,1.25
,,,,,车床工人(其他),,,,802008,5,,,1.5
,,,,,铸造工人,,,,802009,5,,,1.5
,,,,,锅炉工人,,,,802010,5,,,1.5
,,,,,水电工人,,,,802011,4,,,1.25
,,,,,铁工厂工人,,,,802013,5,,,1.5
,,,,,铅字铸造工人,,,,802012,4,,,1.5
,,,,,机械厂工人,,,,802014,5,,,1.5
,,,,,电镀工人,,,,802015,4,,,1.5
,,,,,铣床工人,,,,802016,5,,,1.5
,,,,,剪床工人,,,,802017,5,,,1.5
,,,,,冲床工人,,,,802018,5,,,1.5
,,,,,拉床工人,,,,802004,5,,,1.5
,,,,,锯床工人,,,,802020,5,,,1.5
,,,,,钻床工人,,,,802021,5,,,1.5
,,,,,刨工,,,,802022,5,,,1.5
,,,,,磨工,,,,802023,5,,,1.5
,,,,,镗工,,,,802024,5,,,1.5
,,,,,制齿工人,,,,802025,5,,,1.5
,,,,,组合机床操作工人,,,,802026,5,,,1.5
,,,,,加工中心操作工人,,,,802027,5,,,1.25
,,,,,螺丝纹挤形工人,,,,802028,5,,,1.25
,,,,,刃具扭制工人,,,,802029,5,,,1.25
,,,,,弹性元件制造工人,,,,802030,5,,,1.5
,,,,,抛磨光工人,,,,802031,4,,,1.25
,,,,,锻造工人,,,,802032,5,,,1.5
,,,,,金属热处理工人,,,,802033,5,,,1.25
,,,,,粉末冶金制造工人,,,,802034,5,,,1.5
,,,,,电切削工人,,,,802035,5,,,1.5
,,,,,磨料制造工人,,,,802036,4,,,1.25
,,,,,磨具制造工人,,,,802037,4,,,1.25
,,,,,电焊条制造工人,,,,802038,4,,,1.25
,,,,,仪器仪表元件制造工人,,,,802039,4,,,1.25
,,,,,真空干燥处理工人,,,,802040,3,,,标准
,,,,,人造宝石制造工人,,,,802041,3,,,标准
,,,,,行车司机及指挥人员,,,,802042,6,,,1.5
电子业,,,电子业,,工程师(负责人),,,,803001,2,,,标准
,,,,,技师,,,,803002,2,,,标准
,,,,,领班，监工,,,,803003,2,,,标准
,,,,,工程师,,,,803004,2,,,标准
,,,,,装配工,,,,803005,3,,,标准
,,,,,包装工人,,,,803007,2,,,标准
,,,,,一般制造工人,,,,803008,3,,,标准
,,,,,质量检验人员,,,,803009,2,,,标准
,,,电子元器件制 造,,真空电子器件化学零件制造工,,,,803010,4,,,标准
,,,,,真空电子器件金属零件制造工,,,,803011,4,,,标准
,,,,,真空电子器件装配\调试工人,,,,803012,4,,,标准
,,,,,电极丝制造工人,,,,803013,3,,,标准
,,,,,电子真空镀膜工人,,,,803014,4,,,标准
,,,,,液晶显视器件制造工人,,,,803015,3,,,标准
,,,,,单晶片加工工人,,,,803016,3,,,标准
,,,,,半导体芯片制造工人,,,,803017,3,,,标准
,,,,,"半导体分立器件\集成电路装调工人",,,,803018,2,,,标准
,,,,,电子用水制备工人,,,,803019,2,,,标准
,,,,,电阻器制造工人,,,,803020,4,,,1.25
,,,,,电容器制造工人,,,,803021,4,,,1.25
,,,,,微波铁氧体元器件制造工人,,,,803022,4,,,1.25
,,,,,石英晶体生长设备操作工人,,,,803023,2,,,标准
,,,,,压电石英晶片加工工人,,,,803024,3,,,标准
,,,,,石英晶体元器件制造工人,,,,803025,3,,,标准
,,,,,电声器件制造工人,,,,803026,3,,,标准
,,,,,水声换能器制造工人,,,,803027,3,,,标准
,,,,,专用继电器制造工人,,,,803028,3,,,标准
,,,,,高频电感器件制造工人,,,,803029,2,,,标准
,,,,,接插件制造工人,,,,803030,4,,,标准
,,,,,磁头制造工人,,,,803031,2,,,标准
,,,,,电子产品制版工人,,,,803032,2,,,标准
,,,,,印制电路制作工人,,,,803033,3,,,标准
,,,,,薄膜加热器制造工人,,,,803034,3,,,标准
,,,电池制造,,电池制造(技师),,,,807005,3,,,标准
,,,,,铅酸电池制造工人,,,,803035,4,,,1.25
,,,,,碱性电池制造工人,,,,803036,4,,,1.25
,,,,,原电池制造工人,,,,803037,4,,,1.25
,,,,,热电池制造工人,,,,803038,4,,,1.25
,,,,,太阳电池制造工人,,,,803039,4,,,1.25
,,,电子设备装配\ 调试\修理,,无线电设备机械装校工人,,,,803040,4,,,1.25
,,,,,电子设备装配工人,,,,803041,4,,,1.25
,,,,,无线电调试工人,,,,803042,2,,,标准
,,,,,雷达装配工人,,,,803043,4,,,标准
,,,,,雷达调试工人,,,,803044,2,,,标准
,,,,,电子精密机械装调工人,,,,803045,2,,,标准
,,,,,电子计算机调试工人,,,,803046,1,,,标准
,,,,,有线通信传输设备调试工人,,,,803047,2,,,标准
,,,,,通讯交换设备调试工人,,,,803048,2,,,标准
,,,,,电源调试工人,,,,803049,2,,,标准
,,,,,激光机装调工人,,,,803050,2,,,标准
,,,,,激光全息工人,,,,803051,1,,,标准
,,,,,铁路通信组调工人,,,,803052,3,,,标准
,,,,,铁路信号组调工人,,,,803053,3,,,标准
,,,,,铁路电控组调工人,,,,803054,4,,,标准
,,,电子产品维修,,电子计算机维修工人,,,,803055,1,,,标准
,,,,,家电用品维修人员,,,,803056,2,,,标准
,,,,,修理工,,,,803006,3,,,标准
,,,机电产品装配,,工程师,,,,804001,2,,,标准
,,,,,技术人员,,,,804002,2,,,标准
,,,,,领班，监工,,,,804003,2,,,标准
,,,,,质量检验人员,,,,804004,2,,,标准
,,,,,有关高压电之工作人员,,,,804006,拒保,,,拒保
,,,,,仓库管理人员,,,,804009,3,,,标准
,,,,,基础件\部件装配工人,,,,804010,4,,,标准
,,,机械设备装配,,装配钳工,,,,804011,4,,,1.25
,,,,,工具钳工,,,,804012,5,,,1.25
,,,,,汽轮机装配工人,,,,804013,4,,,1.25
,,,,,内燃机装配工人,,,,804014,4,,,1.25
,,,,,电机装配工人,,,,804015,4,,,1.25
,,,电器设备装配,,铁心叠装工人,,,,804016,5,,,1.25
,,,,,绝缘制品件装配工人,,,,804017,4,,,1.25
,,,,,线圈绕制工人,,,,804018,4,,,1.25
,,,,,绝缘处理浸渍工人,,,,804019,3,,,标准
,,,,,变压器\互感器装配工人,,,,804020,4,,,1.25
,,,,,高\低压电器装配工人,,,,804021,4,,,1.25
,,,,,电焊机装配工人,,,,804022,4,,,1.25
,,,,,电炉装配工人,,,,804023,4,,,1.25
,,,,,电子专用设备装调工人,,,,804024,3,,,标准
,,真空测试工人,,,,,804025,2,,,标准,,
仪表仪器,仪表仪器元件安装工人,,,,,,804026,3,,,标准,,
,仪表仪器装调工人,,,,,,804027,3,,,标准,,
,仪表仪器装配工人,,,,,,804028,3,,,标准,,
,仪表仪器修理工人,,,,,,804029,3,,,标准,,
运输工具制造\ 装配\修理,工程师,,,,,,809001,2,,,标准,,
,技师,,,,,,809002,2,,,标准,,
,汽车\拖拉机装配工人,,,,,,809003,4,,,1.25,,
,自行车\助动车装配工人,,,,,,809004,3,,,标准,,
,汽车\拖拉机修理工人,,,,,,809005,4,,,标准,,
,自行车\助动车修理工人,,,,,,809006,3,,,标准,,
,领班，监工,,,,,,809007,2,,,标准,,
,试车人员,,,,,,809008,4,,,标准,,
,铁路机车\车辆机械制修工人,,,,,,809009,5,,,1.25,,
,铁路机车\车辆电气装修工人,,,,,,809010,5,,,1.25,,
,铁路机车车辆制动修造工人,,,,,,809011,5,,,1.25,,
,电机车装配工人,,,,,,809012,5,,,1.5,,
,摩托车装配工人,,,,,,809013,5,,,1.25,,
船舶舶制造\装 配\修理,工程师,,,,,,703001,3,,,标准,,
,领班，监工,,,,,,703002,4,,,1.25,,
,船体制造工人,,,,,,703003,5,,,1.25,,
,拆船工人,,,,,,703004,6,,,2,,
,船舶轮机装配工人,,,,,,703005,5,,,1.5,,
,船舶电气装配工人,,,,,,703006,4,,,1.25,,
,船舶附件制造工人,,,,,,703007,5,,,1.25,,
,船舶木塑帆缆工人,,,,,,703008,4,,,1.25,,
,船模制造试验工人,,,,,,703009,3,,,标准,,
,船舶修理工人,,,,,,703010,5,,,1.5,,
"日用机电制造\装配\修理",技师,,,,,,816001,2,,,标准,,
,一般制造工人,,,,,,816002,4,,,标准,,
,装配工,,,,,,816003,3,,,标准,,
,包装工,,,,,,816004,3,,,标准,,
,空调装修人员(高空),,,,,,804005,6,,,拒保,,
,冷冻修理工及室内空调装修员,,,,,,804007,4,,,标准,,
,空调器装配工人,,,,,,804008,5,,,1.25,,
,电冰箱装配工人,,,,,,816012,4,,,标准,,
,小型家用电器装配工人,,,,,,816013,4,,,标准,,
,洗衣机装配工人,,,,,,816014,4,,,标准,,
,缝纫机制造装配工人,,,,,,816015,3,,,标准,,
,办公小机械制造装配工人,,,,,,816016,3,,,标准,,
五金制品,工具五金制作工人,,,,,,816017,5,,,1.25,,
,建筑五金制作工人,,,,,,816018,5,,,1.25,,
,制锁工人,,,,,,816019,5,,,1.25,,
,铝制品制作工人,,,,,,816020,5,,,1.25,,
,日用五金制品制作工人,,,,,,816021,4,,,1.25,,
,飞机装配\调试工人,,,,,,816022,4,,,1.25,,
,航空发动机装配工人,,,,,,816023,3,,,标准,,
机电产品制 造与装配,,,,,,,,,,,,,
,,,"航空制造\装配\试验",,飞机螺旋桨装配工人,,,,816024,4,,,1.25
,,,,,飞机军械安装配调试工人,,,,816025,4,,,1.25
,,,,,航空电气安装调试工人,,,,816026,4,,,1.25
,,,,,飞机发动机附件装配工人,,,,816027,4,,,1.25
,,,,,航空\飞行仪表装配工人,,,,816028,3,,,标准
,,,,,航空装配平衡工人,,,,816029,3,,,标准
,,,,,飞机无线电设备装调试工人,,,,816030,3,,,标准
,,,,,飞机雷达安装调试工人,,,,816031,4,,,1.25
,,,,,飞机特种设备检测修理工人,,,,816032,3,,,标准
,,,,,飞机透明件制造胶接装配工人,,,,816033,3,,,标准
,,,,,飞机外场调试与维护工人,,,,816034,4,,,1.25
,,,,,飞机试验工人,,,,816035,2,,,标准
,,,,,机载导弹例行试验工人,,,,816036,4,,,1.25
,,,,,航空发动机试车工人,,,,816037,2,,,标准
,,,,,飞机螺旋桨试验工人,,,,816038,2,,,标准
,,,,,飞机\发动机附件试验工人,,,,816039,2,,,标准
,,,,,"航空环控救生装备试验工人(地面试验)",,,,816040,2,,,标准
,,,,,"航空环控救生装备试验工人(空中试验)",,,,816041,拒保,,,拒保
,,,,,航空仪表试验工人,,,,816042,2,,,标准
,,,,,航空电机电器试验设备调试工,,,,816043,2,,,标准
,,,,,航天器环境试验工人,,,,816044,3,,,标准
,,,,,航天器结构强度环境试验工人,,,,816045,3,,,标准
,,,,,航天器结构高低温环境试验工,,,,816046,3,,,标准
,,,,,火箭发动机介质试验工人,,,,816047,3,,,标准
,,,,,航天器系统试验工人,,,,816048,3,,,标准
,,,,,空间环境模拟光学装测工人,,,,816049,2,,,标准
,,,,,空间环境模拟温度试验工人,,,,816050,2,,,标准
,,,,,空间环境模拟真空试验工人,,,,816051,2,,,标准
,,,导弹\卫星装配 测试,,惯性器件装配工人,,,,816052,4,,,1.25
,,,,,伺服机构装配调试工人,,,,816053,4,,,1.25
,,,,,导弹部段装配工人,,,,816054,5,,,1.5
,,,,,航天器引信装配工人,,,,816055,6,,,1.75
,,,,,弹头装配工人,,,,816056,5,,,1.5
,,,,,导弹总体装配工人,,,,816057,5,,,1.5
,,,,,卫星总体装配 工人,,,,816058,4,,,1.5
,,,"火箭发动机装配试验",,液体为箭发动机装配试验工人,,,,816059,4,,,1.25
,,,,,固体火箭发动机装配试验工人,,,,816060,4,,,1.25
塑胶\橡胶业,,,"塑胶、橡胶生产",,工程师,,,,805001,2,,,标准
,,,,,技师,,,,805002,2,,,标准
,,,,,领班，监工,,,,805003,2,,,标准
,,,,,一般工人,,,,805005,3,,,1.5
,,,,,塑胶射出成型工人(自动),,,,805006,3,,,1.5
,,,,,塑胶射出成型工人(其他),,,,805007,4,,,1.5
,,,塑胶生产,,塑料制品配料工人,,,,805008,3,,,标准
,,,,,橡胶制品配料工人,,,,805009,2,,,标准
,,,,,橡胶炼胶工人,,,,805010,4,,,1.25
,,,,,橡胶成型工人,,,,805011,4,,,1.25
,,,,,橡胶硫化工人,,,,805012,4,,,1.25
,,,,,废胶再生工人,,,,805013,4,,,1.25
,,,无机化工生产,,工程师,,,,807001,2,,,标准
,,,,,技师,,,,807002,2,,,标准
,,,,,一般工人,,,,807003,3,,,标准
,,,,,硫酸，盐酸，硝酸等制造工人,,,,807004,拒保,,,拒保
,,,,,纯碱\烧碱等制造工人,,,,807008,拒保,,,拒保
,,,,,氟化盐生产工人,,,,807009,拒保,,,拒保
,,,,,缩聚磷酸盐生产工人,,,,807010,拒保,,,拒保
,,,,,无机化学反应工人,,,,807011,4,,,1.25
,,,,,高频等离子工人,,,,807012,5,,,1.25
,,,,,气体深冷分离工人\制氧工人,,,,807013,5,,,1.25
,,,,,液化气体制造工,,,,807007,5,,,1.5
,,,,,炭黑制造工人,,,,807014,4,,,1.25
,,,,,二硫化碳制造工人,,,,807015,5,,,1.5
,,,化工生产通用,,化工原料准备工人,,,,807016,4,,,标准
,,,,,压缩机工人,,,,807017,3,,,标准
,,,,,气体净化工人,,,,807018,3,,,标准
,,,,,过滤工人,,,,807019,3,,,标准
,,,,,油加热工人,,,,807020,4,,,1.5
,,,,,制冷工人,,,,807021,3,,,标准
,,,,,蒸发工人,,,,807022,3,,,标准
,,,,,蒸馏工人,,,,807023,3,,,标准
,,,,,萃取工人,,,,807024,3,,,标准
,,,,,吸收工人,,,,807025,3,,,标准
,,,,,吸附工人,,,,807026,3,,,标准
,,,,,干燥工人,,,,807027,3,,,标准
,,,,,结晶工人,,,,807028,3,,,标准
,,,,,造粒工人,,,,807029,3,,,标准
,,,,,防腐工人,,,,807030,5,,,1.5
,,,,,化工工艺试验工人,,,,807031,3,,,标准
,,,,,样品检验员,,,,807032,2,,,标准
,,,,,仪表监控员,,,,807033,2,,,标准
,,,,,化工总控工人,,,,807034,1,,,标准
,,,石油炼制,,燃料油生产工人,,,,807035,3,,,1.25
,,,,,润滑油\脂生产工人,,,,807036,3,,,1.25
,,,,,石油产品精制工人,,,,807037,3,,,1.25
,,,,,油制气工人,,,,807038,6,,,2
,,,煤化工生产,,备煤筛焦工人,,,,807039,4,,,1.5
,,,,,焦炉调温工人,,,,807040,4,,,1.5
,,,,,炼焦工\焦炉机车司机,,,,807041,6,,,1.75
,,,,,煤制气工人,,,,807042,6,,,1.75
,,,,,煤气储运工人,,,,807043,5,,,1.75
化肥生产,合成氨生产工人,,,,,,807044,4,,,1.5,,
,尿素生产工人,,,,,,807045,4,,,1.25,,
,硝酸铵生产工人,,,,,,807046,4,,,1.25,,
,碳酸氢铵生产工人,,,,,,807047,4,,,1.25,,
,硫酸铵生产工人,,,,,,807048,5,,,1.5,,
,过磷酸钙生产工人,,,,,,807049,5,,,1.5,,
,复合磷肥科长 人,,,,,,807050,4,,,1.25,,
,钙镁磷肥生产工人,,,,,,807051,4,,,1.25,,
,氯化钾生产工人,,,,,,807052,3,,,1.25,,
,微量元素混肥生产工人,,,,,,807053,4,,,1.25,,
"基本有机化工产品生产",脂肪烃生产工人,,,,,,807054,6,,,1.75,,
,环烃生产工人,,,,,,807055,4,,,1.25,,
,烃类衍生物生产工人,,,,,,807056,4,,,1.25,,
合成树脂生产,,合成树脂生产工人,,,,,807057,5,,,1.5,,
合成橡胶生产,,合成橡胶生产工人,,,,,807058,5,,,1.5,,
绝缘材料生产,,电子绝缘材料制造工人,,,,,807059,4,,,1.25,,
化学纤维生产,化纤聚合工人,,,,,,807060,5,,,1.5,,
,湿纺原液制工人,,,,,,807061,4,,,1.25,,
,纺丝工人,,,,,,807062,4,,,1.25,,
,化纤后处理工人,,,,,,807063,4,,,1.25,,
,纺丝凝固浴液配制工人,,,,,,807064,3,,,标准,,
,无纺布制造成工人,,,,,,807065,3,,,标准,,
,化纤纺丝精密组件工人,,,,,,807066,3,,,标准,,
合成革生产,,合成革制造工人,,,,,807067,3,,,标准,,
精细化工生产,有机合成工人,,,,,,807068,3,,,标准,,
,染料标准工人,,,,,,807069,2,,,标准,,
,染料应用试验工人,,,,,,807070,2,,,标准,,
,染料拼混工人,,,,,,807071,3,,,标准,,
,研磨分散工人,,,,,,807072,3,,,标准,,
,催化剂制造工人,,,,,,807073,3,,,标准,,
,催化剂试验工人,,,,,,807074,2,,,标准,,
,涂料合成树脂工人,,,,,,807075,4,,,1.25,,
,制漆配色调制工人,,,,,,807076,4,,,1.25,,
,溶剂制造工人,,,,,,807077,3,,,标准,,
,化学试剂制造工人,,,,,,807078,3,,,标准,,
,化工添加剂制造工人,,,,,,807079,3,,,标准,,
信息记录材料 生产,片基制造工人,,,,,,807080,4,,,1.25,,
,感光材料制造工人,,,,,,807081,4,,,1.25,,
,感光材料试验工人,,,,,,807082,2,,,标准,,
,暗盒制造工人,,,,,,807083,4,,,1.25,,
,废片\白银回收工人,,,,,,807084,4,,,1.25,,
,磁粉制造工人,,,,,,807085,3,,,标准,,
,磁记录材料制造工人,,,,,,807086,3,,,标准,,
,磁记录材料试验工人,,,,,,807087,3,,,标准,,
,感光鼓涂敷工人,,,,,,807088,3,,,标准,,
,树脂基复合材料工人,,,,,,807089,4,,,1.25,,
,橡胶基复合材料工人,,,,,,807090,4,,,1.25,,
化学工业,,,,,,,,,,,,,
,,,复合材料加工,,碳基复合材料工人,,,,807091,4,,,1.25
,,,,,陶瓷基复合材料工人,,,,807092,4,,,1.25
,,,,,复合固体推进剂成型工人,,,,807093,4,,,1.25
,,,,,复合固体发动机装药工人,,,,807094,4,,,1.25
,,,,,飞机复合材料制品工人,,,,807095,4,,,1.25
,,,"日用化学品生产",,制皂工人,,,,807096,4,,,1.25
,,,,,甘油工人,,,,807097,4,,,1.25
,,,,,脂肪酸工人,,,,807098,4,,,1.25
,,,,,洗衣粉成型工人,,,,807099,4,,,1.25
,,,,,合成洗涤剂制造工人,,,,807100,4,,,1.25
,,,,,香料制造工人,,,,807101,4,,,1.25
,,,,,香精制造工人,,,,807102,4,,,1.25
,,,,,化妆品制造工人,,,,807103,4,,,1.25
,,,,,牙膏制造工人,,,,807104,4,,,1.25
,,,,,油墨制造工人,,,,807105,5,,,1.5
,,,,,制胶工人,,,,807106,4,,,1.25
,,,,,火柴制造工人,,,,807107,6,,,1.75
,,,,,蜡烛制造工人,,,,807108,4,,,标准
,,,非金属矿及其 制品生产,,云母制品加工工人,,,,807109,4,,,标准
,,,,,石棉制品生产工人,,,,807110,拒保,,,拒保
,,,,,高岭土制造工人,,,,807111,4,,,1.25
,,,,,金刚石制造工人,,,,807112,5,,,1.25
,,,,,人工合成晶体生产工人,,,,807113,4,,,1.25
,,,火\炸药制造,,爆竹\烟花制造及处理工人,,,,808001,拒保,,,拒保
,,,,,火\炸药制造工人,,,,808002,拒保,,,拒保
,,,纺织及成衣业,,工程师,,,,810001,2,,,标准
,,,,,设计师,,,,810002,1,,,标准
,,,,,技师,,,,810003,2,,,标准
,,,,,制造工人,,,,810004,2,,,标准
,,,,,质量检验人员,,,,810006,1,,,标准
,,,纤维预处理,,纤维验配工人,,,,810007,1,,,标准
,,,,,开清棉工人,,,,810008,2,,,标准
,,,,,纤维染色工人,,,,810009,2,,,标准
,,,,,加湿软麻工人,,,,810010,2,,,标准
,,,,,选剥煮茧工人,,,,810011,2,,,标准
,,,,,纤维梳理工人,,,,810012,2,,,标准
,,,,,并条工人,,,,810013,2,,,标准
,,,,,粗纱工人,,,,810014,2,,,标准
,,,,,绢纺精炼工人,,,,810015,3,,,标准
,,,纺纱,,细纱工人,,,,810016,2,,,标准
,,,,,简并摇工人,,,,810017,2,,,标准
,,,,,捻线工人,,,,810018,2,,,标准
,,,,,制线工人,,,,810019,2,,,标准
,,,,,缫丝工人,,,,810020,2,,,标准
,,,,,整经工人,,,,810021,2,,,标准
,,,,,浆纱工人,,,,810022,2,,,标准
,,,,,穿经工人,,,,810023,2,,,标准
纺织\成衣\ 鞋帽\皮革 业,,,织造,,织布工人,,,,810024,2,,,标准
,,,,,织物验修工人,,,,810025,1,,,标准
,,,,,意匠纹版工人,,,,810026,2,,,标准
,,,针织,,纬编工人,,,,810027,2,,,标准
,,,,,经编工人,,,,810028,2,,,标准
,,,,,横机工人,,,,810029,2,,,标准
,,,,,织袜工人,,,,810030,2,,,标准
,,,,,铸\钳针工人,,,,810031,2,,,标准
,,,印染,,坯布检查处理工人,,,,810032,2,,,标准
,,,,,印染烧毛工人,,,,810033,3,,,标准
,,,,,煮炼漂工人,,,,810034,4,,,1.25
,,,,,印染洗涤工人,,,,810035,3,,,标准
,,,,,印染烘干工人,,,,810036,4,,,1.25
,,,,,印染丝光工人,,,,810037,4,,,1.25
,,,,,印染定型工人,,,,810038,4,,,1.25
,,,,,纺织针织染色工人,,,,810039,4,,,1.25
,,,,,印花工人,,,,810040,4,,,1.25
,,,,,印染雕刻制版工人,,,,810041,4,,,1.25
,,,,,印染后整理工人,,,,810042,3,,,1.25
,,,,,印染成品定等装潢工人,,,,810043,4,,,1.25
,,,,,印染染化料配制工人,,,,810044,3,,,1.25
,,,,,工艺染织制作工人,,,,810045,1,,,标准
,,,裁剪缝纫,,裁剪工人,,,,810046,3,,,标准
,,,,,缝纫工人,,,,810047,3,,,标准
,,,,,缝纫整型工人,,,,810048,3,,,标准
,,,,,裁缝,,,,810049,2,,,标准
,,,,,剧装工人,,,,810050,3,,,标准
,,,鞋帽制作,,制鞋工人,,,,810051,4,,,标准
,,,,,制帽工人,,,,810052,3,,,标准
,,,皮革毛皮加工,,皮革加工工人,,,,810053,4,,,1.25
,,,,,毛皮加工工人,,,,810054,3,,,1.25
,,,缝纫制品再加 工,,缝纫制品充填处理工人,,,,810055,3,,,标准
,,,,,胶制服装上胶工人,,,,810056,3,,,1.25
,,,,,服装水洗工人,,,,810057,2,,,标准
造纸\纸产 品,,,造纸工业,,技师,,,,811001,3,,,标准
,,,,,领班，监工,,,,811002,3,,,标准
,,,,,制浆备料工人,,,,811006,5,,,1.25
,,,,,制浆设备操作工人,,,,811004,5,,,1.25
,,,,,制浆废液回收利用工人,,,,811007,5,,,1.5
,,,,,造纸厂工人,,,,811003,4,,,1.25
,,,,,纸张整饰工人,,,,811008,3,,,标准
,,,,,宣纸书画纸制作工人,,,,811009,4,,,标准
,,,,,纸箱制造工人,,,,811005,4,,,标准
,,,,,纸盒制作工人,,,,811010,4,,,标准
电线电缆业,,,电线电缆业,,技术人员,,,,814001,2,,,标准
,,,,,工人,,,,814002,4,,,1.25
,,,,,,冰块制造,,,815001,3,,,标准
食品饮料制 造业,,,"食品饮料制造业",,技师,,,,815002,2,,,标准
,,,,,制造工人,,,,815003,3,,,标准
,,,粮油生产加工,,制米工人,,,,815004,3,,,标准
,,,,,制粉工人,,,,815005,3,,,标准
,,,,,制油工人,,,,815006,3,,,标准
,,,粮油食品制作,,糕点\面包烘焙工人,,,,815007,2,,,标准
,,,,,糕点装饰工人,,,,815008,1,,,标准
,,,,,米面主食制作工人,,,,815009,3,,,标准
,,,,,油脂制品工人,,,,815010,2,,,标准
,,,,,植物蛋白制作工人,,,,815011,2,,,标准
,,,,,豆制品制作工人,,,,815012,3,,,标准
,,,糖制品,,食糖制造工人,,,,815013,3,,,标准
,,,,,糖果制造工人,,,,815014,3,,,标准
,,,,,巧克力制造工人,,,,815015,3,,,标准
,,,乳品\冷食\罐 头\饮料制作,,乳品预处理工人,,,,815016,2,,,标准
,,,,,乳品加工工人,,,,815017,3,,,标准
,,,,,冷食品制作工人,,,,815018,3,,,标准
,,,,,速冻食品制作工人,,,,815019,3,,,标准
,,,,,食品罐头加工工人,,,,815020,3,,,标准
,,,,,饮料制作工人,,,,815021,3,,,标准
,,,酿酒,,酒品酿造工人,,,,815022,3,,,标准
,,,,,酒精制造工人,,,,815023,3,,,标准
,,,,,酒品标签粘贴、包装工人,,,,815024,2,,,标准
,,,食品添加剂\ 调味品制作,,酶制剂制造工人,,,,815025,3,,,标准
,,,,,柠檬酸制造工人,,,,815026,3,,,标准
,,,,,酱油\酱类制作工人,,,,815027,3,,,标准
,,,,,食醋制作工人,,,,815028,3,,,标准
,,,,,酱腌菜制作工人,,,,815029,3,,,标准
,,,,,食用调料制作工人,,,,815030,3,,,标准
,,,,,味精制作工人,,,,815031,3,,,标准
,,,屠宰加工,,猪\牛\羊屠宰加工工人,,,,815032,3,,,标准
,,,,,肠衣加工工人,,,,815033,3,,,标准
,,,,,禽类屠宰加工工人,,,,815034,3,,,标准
,,,肉\蛋食品加工,,熟肉制品加工工人,,,,815035,3,,,标准
,,,,,蛋品及再制蛋品加工工人,,,,815036,2,,,标准
,,,饲料生产加工,,饲料原料清理上料工人,,,,815037,2,,,标准
,,,,,饲料粉碎工人,,,,815038,3,,,标准
,,,,,饲料配料混合工人,,,,815039,2,,,标准
,,,,,饲料制料工人,,,,815040,3,,,标准
,,,,,饲料添加剂预混工人,,,,815041,2,,,标准
,,,,,饲料厂中控室操作人员,,,,815042,1,,,标准
,,,玻璃制品,,玻璃配料工人,,,,817001,3,,,标准
,,,,,玻璃熔化工人,,,,817002,4,,,1.25
,,,,,玻璃制板及玻璃成型工人,,,,817003,4,,,1.25
,,,,,玻璃加工工人,,,,817004,4,,,1.25
,,,,,玻璃制品装饰加工工人,,,,817005,2,,,标准
,,,,,技师,,,,817006,2,,,标准
玻璃\陶瓷\ 搪瓷 制品制 造业,,,,,监工,,,,817007,2,,,标准
,,,,,玻璃纤维制品工人,,,,817008,4,,,1.25
,,,,,玻璃钢制品工人,,,,817009,4,,,1.25
,,,,,石英玻璃制品加工工人,,,,817010,4,,,1.25
,,,陶瓷制品,,陶瓷原料准备工人,,,,817011,3,,,标准
,,,,,陶瓷成型工人,,,,817012,3,,,标准
,,,,,陶瓷烧成工人,,,,817013,3,,,标准
,,,,,陶瓷装饰工人,,,,817014,3,,,标准
,,,,,匣钵\模型制作工人,,,,817015,3,,,标准
,,,,,古建琉璃工人,,,,817016,3,,,标准
,,,搪瓷制品,,搪瓷釉浆熔制工人,,,,817017,3,,,标准
,,,,,搪瓷坯体制作工人,,,,817018,4,,,标准
,,,,,搪瓷涂搪烧成工人,,,,817019,3,,,标准
,,,,,搪瓷花版饰花工人,,,,817020,3,,,标准
烟草制品加 工业,,,烟草制品加工,,内勤行政工作人员,,,,818001,1,,,标准
,,,,,工程师\领班\监工,,,,818002,2,,,标准
,,,原烟复烤,,烟叶调制工人,,,,818003,2,,,标准
,,,,,烟叶分级工人,,,,818004,1,,,标准
,,,,,挂杆复烤工人,,,,818005,2,,,标准
,,,,,打叶复烤工人,,,,818006,2,,,标准
,,,,,烟叶回潮工人,,,,818007,2,,,标准
,,,,,烟叶发酵工人,,,,818008,2,,,标准
,,,卷烟生产,,烟叶制丝工人,,,,818009,3,,,标准
,,,,,膨胀烟丝工人,,,,818010,3,,,标准
,,,,,白肋烟处理工人,,,,818011,2,,,标准
,,,,,烟草薄片工人,,,,818012,3,,,标准
,,,,,烟草卷接工人,,,,818013,2,,,标准
,,,烟用醋酸纤维 丝束\滤棒制 作人员,,烟用二醋片制造工人,,,,818014,3,,,标准
,,,,,烟用丝束制造工人,,,,818015,3,,,标准
,,,,,滤棒制造工人,,,,818016,3,,,标准
医疗用品\ 制药业,,,制药,,一般内勤人员,,,,819001,1,,,标准
,,,,,技师\产品研究人员,,,,819002,2,,,标准
,,,,,中药材种植人员,,,,819003,2,,,标准
,,,,,中药炮制与配制工人,,,,819004,2,,,标准
