新版六类职业分类表,,,,,,,,,,对应类别,,,
行业,,,,,,工种名称,,,工种代码,寿险、重疾及意外险,,,医疗保险
,,,,,地籍测绘人员,,,,706026,2,,,标准
,,,,,海洋测绘人员(非海上作业),,,,706027,2,,,标准
,,,,,海洋测绘人员(海上作业),,,,706028,6,,,2
,,,矿物开采,,经营者(不到现场者),,,,402001,1,,,标准
,,,,,经营者(现场监督者),,,,402007,3,,,标准
,,,,,经理人员,,,,402003,2,,,标准
,,,,,矿业工程师\技师\领班,,,,402004,4,,,标准
,,,,,*地面采矿工人,,,,402005,6,,,1.5
,,,,,工矿安全人员,,,,402006,4,,,1.25
,,,,,井下采矿工人,,,,401001,拒保,,,拒保
,,,,,支护工人,,,,401002,拒保,,,拒保
,,,,,矿物采掘爆破工人,,,,401003,拒保,,,拒保
,,,,,矿井开掘工人,,,,401004,拒保,,,拒保
,,,,,露天采矿挖掘机司机,,,,401005,6,,,2
,,,,,钻孔机司机,,,,401006,6,,,2
,,,,,井筒冻结工人,,,,401007,6,,,2
,,,,,"矿山提升机\架空索道\绞车等操作工人",,,,401008,4,,,1.5
,,,,,矿井机车运输工人,,,,401009,拒保,,,拒保
,,,,,矿井通风工人,,,,401010,4,,,1.25
,,,,,矿山检查验收人员,,,,401011,3,,,1.25
,,,,,矿工头灯充电人员,,,,401012,2,,,标准
,,,,,矿灯\自救器管理人员,,,,401013,1,,,标准
,,,,,火药\雷管管理工,,,,401014,5,,,拒保
,,矿山井下抢险\救灾人员,,,,,401015,拒保,,,拒保,,
矿物处理,筛选破碎工人,,,,,,401016,3,,,1.25,,
,重力选矿工人,,,,,,401017,3,,,1.25,,
,浮选工人,,,,,,401018,2,,,标准,,
,磁选工人,,,,,,401019,2,,,标准,,
,选矿脱水工人,,,,,,401020,2,,,标准,,
,尾矿处理工人,,,,,,401021,4,,,1.5,,
,磨矿工人,,,,,,401022,4,,,1.5,,
,水煤浆制备工人,,,,,,401023,4,,,1.5,,
,动力配煤工人,,,,,,401024,2,,,1.25,,
,工业型煤加工人员,,,,,,401025,2,,,1.25,,
盐业生产,海盐晒制工人,,,,,,401026,3,,,标准,,
,海盐采收工人,,,,,,401027,2,,,标准,,
,湖盐采掘船工人,,,,,,401028,6,,,2,,
,湖盐采掘爆破工人,,,,,,401029,拒保,,,拒保,,
,湖盐脱水工人,,,,,,401030,3,,,标准,,
,驳筑\集拆坨盐工人,,,,,,401031,3,,,标准,,
,井矿盐采卤工人,,,,,,401032,3,,,1.25,,
,井矿盐卤水净化工人,,,,,,401033,3,,,1.25,,
,真空制盐工人,,,,,,401034,3,,,标准,,
,冷冻提硝工人,,,,,,401035,3,,,1.25,,
,苦卤综合利用工人,,,,,,401036,3,,,1.25,,
,精制盐工人,,,,,,401037,3,,,1.25,,
"海上采矿\采油作业",,所有作业人员,,,,,403001,拒保,,,拒保,,
陆上油矿开采 业,行政人员,,,,,,405001,2,,,标准,,
,工程师,,,,,,405002,3,,,标准,,
,技术员,,,,,,405003,5,,,1.25,,
,油气井清洁保养修护工,,,,,,405004,5,,,1.5,,
,钻勘设备装修保养工,,,,,,405005,5,,,1.5,,
,钻油井工人,,,,,,405006,5,,,2,,
,钻井设备\井架安装工人,,,,,,405007,5,,,2,,
,油气井测试工人,,,,,,405008,5,,,2,,
,采油\气工人,,,,,,405009,5,,,2,,
,井下作业工人,,,,,,405010,拒保,,,拒保,,
,天然气净化工人,,,,,,405011,3,,,1.25,,
,油气输送工人,,,,,,405012,3,,,1.25,,
,油气管道保护工人,,,,,,405013,5,,,1.5,,
,采油化验工,,,,,,405014,3,,,标准,,
,综合录井工,,,,,,405015,3,,,标准,,
,气测工,,,,,,405016,3,,,标准,,
,注水员,,,,,,405017,3,,,标准,,
采砂石业,采石业工人,,,,,,404001,5,,,1.5,,
,"采石业工人(从事凿眼、放炮、破料等)",,,,,,404005,拒保,,,拒保,,
,采砂业工人,,,,,,404002,4,,,1.5,,
,采砂\石厂管理人员,,,,,,404003,3,,,标准,,
地质矿产,,,,,,,,,,,,,
,,,,,,淘金工人,,,404004,4,,,1.25
,,,公路运输及设 备操作,,计程，货运行业负责人(不驾驶),,,,501001,1,,,标准
,,,,,外务员,,,,501002,2,,,标准
,,,,,内勤工作人员,,,,501003,1,,,标准
,,,,,自用小客车司机,,,,501004,2,,,标准
,,,,,自用大客车司机,,,,501005,2,,,标准
