个人寿险投/被保险人职业代码表（2010）,,,,,,
大分类,中分类,小分类,细类（职业）,职业内容,职业风险等级,住院险风险等级
,,20209航空工程技术人员,2020901飞机设计工程技术人员,飞机设计工程技术人员,1,1
,,,2020902飞机制造工程技术人员,飞机制造工程技术人员,2,1
,,,2020903飞机发动机设计工程技术人员,飞机发动机设计工程技术人员,1,1
,,,2020904飞机发动机制造工程技术人员,飞机发动机制造工程技术人员,2,1
,,20210航天工程技术人员,2021001航天工程技术人员,航天工程技术人员,3,1
,,20211电子工程技术人员,2021101电子材料工程技术人员,电子材料工程技术人员,2,1
,,,2021102电子元器件工程技术人员,电子元器件工程技术人员,2,1
,,,2021103雷达系统工程技术人员,雷达系统工程技术人员,2,1
,,,2021104广播视听设备工程技术人员,广播视听设备工程技术人员,2,1
,,,2021105电子仪器与测量工程技术人员,电子仪器与测量工程技术人员,2,1
,,,"2021106工程师",工程师,2,1
,,20212通信工程技术人员,2021201通信工程技术人员,通信工程技术人员,2,1
,,20213计算机与应用工程技术人员,2021301计算机硬件技术人员,计算机硬件技术人员,2,1
,,,2021302计算机软件技术人员,计算机软件技术人员,1,1
,,,2021303计算机网络技术人员,计算机网络技术人员,1,1
,,,"2021304计算机系统分析技术人员",计算机系统分析技术人员,1,1
"第二大类2专业技术人员",202工程技术人员,20213计算机与应用工程技术人员,"2021305维护工程师",维护工程师,2,1
,,,"2021306销售工程师(旧)2001003销售工程师",销售工程师,1,1
,,,2021307计算机乐谱制作师,计算机乐谱制作师,1,1
,,,2021308数字视频合成师,数字视频合成师,1,1
,,,2021309计算机软件产品检验员,计算机软件产品检验员,1,1
,,20214电气工程技术人员,"2021401电机与电器工程技术人员",电机与电器工程技术人员,3,1
,,,2021402电力拖动与自动控制工程技术人员,电力拖动与自动控制工程技术人员,2,1
,,,2021403电线电缆与电工材料工程技术人员,电线电缆与电工材料工程技术人员,2,1
,,,2021404可编程序控制系统设计师,可编程序控制系统设计师,2,1
,,20215电力工程技术人员,2021501发电工程技术人员,发电工程技术人员,3,2
,,,2021502输变电工程技术人员,输变电工程技术人员,3,2
,,,2021503供用电工程技术人员,供用电工程技术人员,3,1
,,20216邮政工程技术人员,2021601邮政工程技术人员,邮政工程技术人员,2,1
,,20217广播电影电视工程技术人员,2021701广播电视编播工程技术人员,广播电视编播工程技术人员,2,1
,,,2021702广播电视传输覆盖工程技术人员,广播电视传输覆盖工程技术人员,2,1
,,,2021703电影工程技术人员,电影工程技术人员,2,1
,,20218交通工程技术人员,2021801汽车运用工程技术人员,汽车运用工程技术人员,2,1
,,,2021802船舶运用工程技术人员,船舶运用工程技术人员,2,1
,,,2021803水上交通工程技术人员(进行水上安全监督管理、搜寻救助等行动),水上交通工程技术人员,4,2
,,,2021804水上交通工程技术人员(不参与水上行动),水上交通工程技术人员（不参与水上行动）,2,1
,,,2021805海上救助打捞工程技术人员(参与海上艘救、打捞行动),海上救助打捞工程技术人员(参与行动),7,3
,,,2021806海上救助打捞工程技术人员(救助打捞技术、装备研究、设计),海上救助打捞工程技术人员(技术研究）,2,1
,,,2021807船舶检验工程技术人员,船舶检验工程技术人员,2,1
,,20219民用航空工程技术人员,2021901民用航空器维修与适航审定专业技术人员,民用航空器维修与适航审定专业技术人员,3,1
,,,2021902航行航空管理及飞行程序设计工程技术人员,航行航空管理及飞行程序设计工程技术人员,1,1
"第二大类2专业技术人员",202工程技术人员,20219民用航空工程技术人员,2021903通用航空技术人员(从事航空摄影、航空物探、航空吊挂吊装、石油航空作业、航空环境污染监测、航空护林、播种、喷施、研究航空体育运动等),通用航空技术人员,6,2
,,,2021904航空运输研究人员,航空运输研究人员,1,1
,,20220铁路工程技术人员,2022001铁道运输工程研究人员,铁道运输工程研究人员,1,1
,,,2022002铁路机务工程技术人员,铁路机务工程技术人员,2,1
,,,2022003铁路车辆工程技术人员,铁路车辆工程技术人员,2,1
,,,2022004铁路电务工程技术人员,铁路电务工程技术人员,3,1
,,20221建筑工程技术人员,2022101城镇规划设计工程技术人员,城镇规划设计工程技术人员,1,1
,,,"2022102建筑设计工程技术人员(旧)0701001建筑师(旧)0701002制图员",建筑设计工程技术人员,1,1
,,,"2022103土木建筑工程技术人员(到工地监督检查指导)",土木建筑工程技术人员,3,1
,,,2022104土木建筑工程技术人员(不到工地),土木建筑工程技术人员（不到工地）,1,1
,,,2022105风景园林工程技术人员,风景园林工程技术人员,2,1
,,,2022106道路与桥梁工程技术人员,道路与桥梁工程技术人员,3,1
,,,2022107港口与航道工程技术人员,港口与航道工程技术人员,3,1
,,,2022108机场工程技术人员,机场工程技术人员,3,1
,,,"2022109铁路建筑工程技术人员",铁路建筑工程技术人员,2,1
,,,2022110水利水电建筑工程技术人员,水利水电建筑工程技术人员,3,1
,,,"2022111内勤工作人员",内勤工作人员,1,1
,,,"2022112承包商(土木建筑)",承包商（土木建筑）,3,1
,,,"2022113建筑公司负责人、业务员",建筑公司负责人、业务员,2,1
,,,"2022114引导参观工地服务人员",引导参观工地服务人员,2,1
,,20222建材工程技术人员,2022201硅酸盐工程技术人员,硅酸盐工程技术人员,2,1
"第二大类2专业技术人员",202工程技术人员,20222建材工程技术人员,2022202石棉、石膏、云母等非金属矿及制品工程技术人员,石棉石膏云母等非金属矿及制品工程技术人员,2,1
,,,2022203玻璃钢、复合材料等无机非金属新材料工程技术人员,玻璃钢复合材料等新材料工程技术人员,2,1
,,20223林业工程技术人员,2022301林业生态环境工程技术人员,林业生态环境工程技术人员,3,1
,,,2022302森林培育工程技术人员,森林培育工程技术人员,2,1
,,,2022303园林绿化工程技术人员,园林绿化工程技术人员,2,1
,,,2022304野生动物保护与繁殖利用工程技术人员(研究调查野生动物资源及野生动物驯化、繁殖技术人员),野生动物保护与繁殖利用工程技术人员,4,2
,,,2022305野生动物保护与繁殖利用工程技术人员（设计、研制猎枪、猎具+改进狩猎技术+研究野生动物肉、毛皮产品测定、分析、储藏技术人员）,设计猎具研究野生动物毛皮产品技术人员,2,1
,,,2022306自然保护区工程技术人员,自然保护区工程技术人员,3,2
,,,2022307森林保护工程技术人员,森林保护工程技术人员,3,2
,,,2022308木、竹材加工工程技术人员,木、竹材加工工程技术人员,3,2
,,,2022309森林采伐和运输工程技术人员,森林采伐和运输工程技术人员,4,2
,,,2022310经济林和林特产品加工工程技术人员,经济林和林特产品加工工程技术人员,2,2
,,,2022311森林资源管理与监测工程技术人员,森林资源管理与监测工程技术人员,2,1
,,20224水利工程技术人员,2022401水资源勘测工程技术人员,水资源勘测工程技术人员,3,1
,,,2022402治河及泥沙治理工程技术人员,治河及泥沙治理工程技术人员,3,1
,,,"2022403水利工程师",水利工程师,2,1
,,20225海洋工程技术人员,2022501海洋调查与监测工程技术人员,海洋调查与监测工程技术人员,3,1
,,,2022502海洋环境预报工程技术人员,海洋环境预报工程技术人员,2,1
"第二大类2专业技术人员",202工程技术人员,20225海洋工程技术人员,2022503海洋资源开发利用和保护工程技术人员(海洋矿产、油气资源开发利用),海洋矿产、油气资源开发利用技术人员,6,3
