ƒÍ¡‰∂Œ,notHave,have
0-5,1504,661
6-10,653,321
11-15,264,135
16-20,228,128
21-25,430,211
26-30,587,277
31-35,779,345
36-40,1015,460
41-45,1377,568
46-50,2497,735
51-55,3322,1225
56-60,4311,1614
61-65,5882,2253
66-70,8586,3274
71-75,11100,4318
76-80,15253,6019
