ƒÍ¡‰∂Œ,notHave,have
0-5,2474,1030
6-10,1065,488
11-15,442,216
16-20,384,207
21-25,707,327
26-30,1001,397
31-35,1315,488
36-40,1696,638
41-45,2180,838
46-50,3923,1129
51-55,5185,1764
56-60,6691,2313
61-65,9109,3213
66-70,13269,4650
71-75,17119,6116
76-80,23490,8507
