;1;3;5;10;15;20;1;3;5;10;15;20
0;3,153.80;1,123.60;699.2;380.6;288.3;247.5;3,161.10;1,125.90;700.5;381.1;288.5;247.5
1;3,166.90;1,128.40;702.3;382.3;289.7;248.9;3,174.50;1,130.80;703.6;382.9;289.9;248.8
2;3,180.70;1,133.50;705.5;384.2;291.2;250.3;3,188.60;1,135.90;706.9;384.7;291.4;250.2
3;3,195.10;1,138.80;708.9;386.1;292.8;251.7;3,203.30;1,141.30;710.3;386.7;293;251.7
4;3,210.20;1,144.40;712.4;388.1;294.5;253.3;3,218.70;1,147.00;713.9;388.7;294.7;253.2
5;3,226.00;1,150.20;716.1;390.2;296.2;254.9;3,234.80;1,152.90;717.6;390.9;296.4;254.8
6;3,242.60;1,156.30;720;392.4;298;256.6;3,251.70;1,159.10;721.6;393.1;298.3;256.5
7;3,259.90;1,162.70;724;394.8;299.9;258.4;3,269.30;1,165.60;725.7;395.5;300.2;258.3
8;3,278.00;1,169.40;728.3;397.2;301.9;260.3;3,287.80;1,172.40;730;397.9;302.2;260.2
9;3,297.00;1,176.40;732.7;399.7;304;262.2;3,307.10;1,179.50;734.5;400.5;304.3;262.2
10;3,316.80;1,183.70;737.4;402.4;306.2;264.3;3,327.40;1,187.00;739.3;403.2;306.5;264.2
11;3,337.60;1,191.40;742.3;405.2;308.5;266.4;3,348.50;1,194.80;744.2;406;308.8;266.4
12;3,359.30;1,199.50;747.4;408.2;310.9;268.7;3,370.70;1,203.00;749.4;409;311.2;268.7
13;3,382.10;1,207.90;752.8;411.2;313.4;271.1;3,393.90;1,211.60;754.9;412.1;313.8;271.1
14;3,406.00;1,216.70;758.4;414.5;316.1;273.6;3,418.20;1,220.50;760.6;415.4;316.4;273.6
15;3,431.00;1,226.00;764.3;417.8;318.9;276.2;3,443.60;1,229.90;766.5;418.8;319.3;276.2
16;3,457.20;1,235.70;770.5;421.4;321.8;279;3,470.30;1,239.80;772.8;422.4;322.2;279
17;3,484.70;1,245.90;777;425.1;324.9;282;3,498.30;1,250.20;779.4;426.1;325.3;282
18;3,513.60;1,256.60;783.8;429;328.1;285.1;3,527.60;1,261.00;786.3;430.1;328.6;285.1
19;3,543.80;1,267.90;790.9;433.1;331.5;288.4;3,558.40;1,272.40;793.5;434.3;332;288.4
20;3,575.50;1,279.60;798.4;437.5;335.1;291.9;3,590.60;1,284.40;801.2;438.6;335.6;291.9
21;3,608.80;1,292.00;806.3;442;338.9;295.6;3,624.50;1,296.90;809.2;443.2;339.4;295.6
22;3,643.80;1,305.00;814.6;446.8;342.9;299.6;3,660.10;1,310.10;817.6;448.1;343.4;299.5
23;3,680.50;1,318.70;823.3;451.8;347.1;303.7;3,697.50;1,324.00;826.4;453.2;347.7;303.6
