生命人寿职业代码（第三版）,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
行业,,,,,,职业,,,,,代码,,意外险,,,寿险,,豁免
,,,,,山地管理人员,,,,,,52003,,4,,,标准,,1
,,,,,森林防火人员,,,,,,52004,,拒保,,,25,,1.5
,,,,,平地育苗工人,,,,,,52005,,2,,,标准,,1
,,,,,实验室育苗栽培人员,,,,,,52006,,1,,,标准,,1
矿业、开采业06,坑道内作业061,,,,,矿工,,,,,61001,,拒保,,,75,,拒保
,坑道外作业062,,,,经营者(不到现场),,,,,,62001,,1,,,标准,,1
,,,,,经营者(现场监督者),,,,,,62002,,4,,,标准,,1
,,,,,经理人员,,,,,,62003,,2,,,标准,,1
,,,,,经理人员（现场监督员）,,,,,,62004,,4,,,标准,,1
,,,,,行政内勤人员,,,,,,62005,,2,,,标准,,1
,,,,,工程师、技师、领班,,,,,,62006,,5,,,25,,1
,,,,,工人,,,,,,62007,,6,,,25,,2
,,,,,工矿安全人员,,,,,,62008,,5,,,标准,,1
,海上作业063,,,,,所有作业人员（含潜水人员）,,,,,63001,,拒保,,,50,,拒保
,采矿石业064,,,,采石业工人,,,,,,64001,,5,,,25,,1.5
,,,,,采矿业工人,,,,,,64002,,5,,,25,,1.5
,,,,,采砂业工人,,,,,,64003,,5,,,25,,1.5
,陆上油矿开采业065,,,,,工程师,,,,,65001,,3,,,标准,,1
,,,,,技术员,,,,,,65002,,6,,,25,,2
,,,,,油气井清洁保养修护工,,,,,,65003,,6,,,25,,2
,,,,,钻勘设备安装换修保养工,,,,,,65004,,6,,,25,,2
,,,,,钻油井工人,,,,,,65005,,6,,,25,,2
,,,,,相关行政内勤管理人员,,,,,,65006,,2,,,标准,,1
,,,,,钻井设备、井架安装工人,,,,,,65007,,5,,,25,,2
,,,,,油气井测试工人,,,,,,65008,,5,,,25,,2
,,,,,采油、气工人,,,,,,65009,,5,,,25,,2
,,,,,井下作业工人,,,,,,65010,,拒保,,,拒保,,拒保
,,,,,天然气净化工人,,,,,,65011,,3,,,标准,,1
,,,,,油气输送工人,,,,,,65012,,3,,,标准,,1
,,,,,油气管道保护工人,,,,,,65013,,5,,,25,,1.5
,,,,,采油化验工,,,,,,65014,,3,,,标准,,1
,,,,,综合录井工,,,,,,65015,,3,,,标准,,1
,,,,,气测工,,,,,,65016,,3,,,标准,,1
,,,,,注水员,,,,,,65017,,3,,,标准,,1
,盐业066,,,,海盐晒制工,,,,,,66001,,3,,,标准,,1
,,,,,海盐采收工,,,,,,66002,,2,,,标准,,1
,,,,,湖盐采掘船工,,,,,,66003,,6,,,50,,1.5
,,,,,湖盐采掘爆破工,,,,,,66004,,拒保,,,拒保,,拒保
,,,,,湖盐脱水工,,,,,,66005,,3,,,标准,,1
,,,,,驳筑、集拆驼盐工,,,,,,66006,,3,,,标准,,1
,,,,,井矿盐采卤工人,,,,,,66007,,3,,,标准,,1
,,,,,井矿盐卤水净化工人,,,,,,66008,,3,,,标准,,1
,,,,,真空制盐工人,,,,,,66009,,3,,,标准,,1
,,,,,冷冻提硝工人,,,,,,66010,,3,,,标准,,1
,,,,,苦卤综合利用工人,,,,,,66011,,3,,,标准,,1
,,,,,精制盐工人,,,,,,66012,,3,,,标准,,1
交通运输业07,陆运071,,,,出租车、货运车公司负责人(不参与驾驶),,,,,,71001,,1,,,标准,,1
,,,,,外务员,,,,,,71002,,2,,,标准,,1
,,,,,内勤工作人员,,,,,,71003,,1,,,标准,,1
,,,,,自用小车司机,,,,,,71004,,3,,,标准,,1
,,,,,自用小客车司机（11座以内）,,,,,,71005,,3,,,标准,,1
,,,,,自用大客车司机,,,,,,71006,,4,,,标准,,1
,,,,,出租车司机,,,,,,71007,,4,,,标准,,1
,,,,,游览车、客运车司机及服务员,,,,,,71008,,4,,,标准,,1
,,,,,小型自用客货两用车司机,,,,,,71009,,4,,,标准,,1
,,,,,小型自用货车司机、随车工人,,,,,,71010,,4,,,标准,,1
,,,,,救护车司机,,,,,,71011,,4,,,标准,,1
,,,,,殡葬车司机,,,,,,71012,,4,,,标准,,1
