生命人寿职业代码（第三版）,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
行业,,,,,,职业,,,,,代码,,意外险,,,寿险,,豁免
重有色金属冶炼-氧化铝制取工人,,,,,,,101037,4,,标准,,1,,,,,,
重有色金属冶炼-铝电解工人,,,,,,,101038,4,,标准,,1,,,,,,
重有色金属冶炼-,,,,,,,101039,4,,标准,,1,,,,,,
重有色金属冶炼-硅冶炼工人,,,,,,,101040,4,,标准,,1,,,,,,
稀贵金属冶炼,,,,,,,,,,,,,,,,,,
稀贵金属冶炼-钨\钽\钛等稀贵金属冶炼工人,,,,,,,101041,4,,标准,,1,,,,,,
稀贵金属冶炼半导体材料制造人员,,,,,,,101042,4,,标准,,1,,,,,,
金属轧制,,,,,,,,,,,,,,,,,,
金属轧制-轧制原料工人,,,,,,,101043,4,,标准,,1,,,,,,
金属轧制-金属轧制工人,,,,,,,101044,5,,25,,1.5,,,,,,
金属轧制-酸洗工人,,,,,,,101045,5,,25,,1.5,,,,,,
金属轧制-金属材料涂层工人,,,,,,,101046,4,,标准,,1,,,,,,
金属轧制-金属材料热处理工人,,,,,,,101047,5,,25,,1.5,,,,,,
金属轧制-焊管工人,,,,,,,101048,6,,50,,2,,,,,,
金属轧制-精整工人,,,,,,,101049,5,,25,,1.5,,,,,,
金属轧制-金属材料丝拉拔工人,,,,,,,101050,5,,25,,1.5,,,,,,
金属轧制-金属挤压工人,,,,,,,101051,5,,25,,1.5,,,,,,
,,,金属轧制-铸轧工人,,,,,,101052,,5,,25,,,1.5,,
,,,金属轧制-钢丝绳制造工人,,,,,,101053,,4,,标准,,,1,,
,,,铸铁管生产,,,,,,,,,,,,,,,
,,,铸铁管生产-铸管备品工人,,,,,,101054,,3,,标准,,,1,,
,,,铸铁管生产-铸管工人,,,,,,101055,,5,,25,,,1.5,,
,,,铸铁管生产-铸管精修工人,,,,,,101056,,5,,25,,,1.5,,
,,,硬质合金生产,,,,,,,,,,,,,,,
,,,硬质合金生产-硬质合金混合料制备工人,,,,,,101057,,4,,标准,,,1,,
,,,硬质合金生产-硬质合金成型工人,,,,,,101058,,5,,25,,,1.5,,
,,,硬质合金生产-硬质合金烧结工人,,,,,,101059,,4,,标准,,,1,,
,,,硬质合金生产-硬质合金精加工工人,,,,,,101060,,4,,标准,,,1,,
,,,碳素制品生产,,,,,,,,,,,,,,,
,,,碳素制品生产-碳素制品生产人员,,,,,,101061,,4,,标准,,,1,,
机械厂111,,,"经理人员(不至现场,仅内勤管理)",,,,,,111001,,1,,标准,,,1,,
,,,"经理人员(不亲自作业,偶至现场指导)",,,,,,111002,,2,,标准,,,1,,
,,,领班,,,,,,111003,,3,,标准,,,1,,
,,,板金工,,,,,,111004,,5,,标准,,,1,,
,,,装配工,,,,,,111005,,5,,标准,,,1,,
,,,焊接工,,,,,,111006,,6,,25,,,1.5,,
,,,搬运工人,,,,,,111007,,6,,25,,,1.5,,
,,,车床工(全自动),,,,,,111008,,5,,标准,,,1,,
,,,车床工(其他),,,,,,111009,,6,,25,,,1.5,,
,,,铸造工,,,,,,111010,,6,,25,,,1.5,,
,,,铅字铸造工,,,,,,111011,,5,,标准,,,1,,
,,,锅炉工,,,,,,111012,,6,,25,,,1.5,,
,,,水电工,,,,,,111013,,4,,标准,,,1,,
,,,电镀工,,,,,,111014,,5,,标准,,,1,,
,,,铣床工,,,,,,111015,,6,,25,,,1.5,,
,,,剪床工,,,,,,111016,,6,,25,,,1,,
,,,冲床工,,,,,,111017,,6,,25,,,1.5,,
,,,机修工,,,,,,111018,,5,,标准,,,1,,
,,,仓库管理员,,,,,,111019,,5,,标准,,,1,,
,,,行政内勤人,,,,,,111020,,1,,标准,,,1,,
,,,模具设计人,,,,,,111021,,2,,标准,,,1,,
,,,钳工,,,,,,111022,,4,,标准,,,1,,
,,,钻床工,,,,,,111023,,6,,25,,,1.5,,
,,,铲车工,,,,,,111024,,4,,标准,,,1,,
,,,行车司机,,,,,,111025,,5,,标准,,,1,,
,,,行车指挥员,,,,,,111026,,5,,25,,,1.5,,
电子业121,,,行政内勤人员,,,,,,121001,,1,,标准,,,1,,
,,,工程师,,,,,,121002,,2,,标准,,,1,,
技师,,,,,,,121003,3,,标准,,1,,,,,,
领班、监工,,,,,,,121004,2,,标准,,1,,,,,,
装配工,,,,,,,121005,3,,标准,,1,,,,,,
修理工,,,,,,,121006,3,,标准,,1,,,,,,
包装工人,,,,,,,121007,3,,标准,,1,,,,,,
点焊工,,,,,,,121008,3,,标准,,1,,,,,,
制造工,,,,,,,121009,4,,标准,,1,,,,,,
质检员,,,,,,,121010,2,,标准,,1,,,,,,
搬运工人,,,,,,,121011,4,,标准,,1,,,,,,
仓库管理员,,,,,,,121012,3,,标准,,1,,,,,,
电子产品修理工,,,,,,,131012,3,,标准,,1,,,,,,
电子元器件制造,,,,,,,,,,,,,,,,,,
电子元器件制造-真空电子器件化学零件制造工人,,,,,,,131013,4,,标准,,1,,,,,,
电子元器件制造-真空电子器件金属零件制造工人,,,,,,,131014,4,,标准,,1,,,,,,
电子元器件制造-真空电子器件装配、调试工人,,,,,,,131015,4,,标准,,1,,,,,,
电子元器件制造-电极丝制造工人,,,,,,,131016,3,,标准,,1,,,,,,
电子元器件制造-电子真空镀膜工人,,,,,,,131017,4,,标准,,1,,,,,,
电子元器件制造-液晶显视器件制造工人,,,,,,,131018,3,,标准,,1,,,,,,
电子元器件制造-晶片加工工人,,,,,,,131019,3,,标准,,1,,,,,,
电子元器件制造-半导体芯片制造工人,,,,,,,131020,3,,标准,,1,,,,,,
电子元器件制造-半导体分立器件、集成电路装调工人,,,,,,,131021,2,,标准,,1,,,,,,
电子元器件制造-电子用水制备工人,,,,,,,131022,2,,标准,,1,,,,,,
电子元器件制造-电阻器制造工人,,,,,,,131023,4,,标准,,1,,,,,,
电子元器件制造-电容器制造工人,,,,,,,131024,4,,标准,,1,,,,,,
电子元器件制造-微波铁氧体元器件制造工人,,,,,,,131025,4,,标准,,1,,,,,,
电子元器件制造-石英晶体生长设备操作工人,,,,,,,131026,2,,标准,,1,,,,,,
电子元器件制造-压电石英晶片加工工人,,,,,,,131027,3,,标准,,1,,,,,,
电子元器件制造-石英晶体元器件制造工人,,,,,,,131028,3,,标准,,1,,,,,,
电子元器件制造-电声器件制造工人,,,,,,,131029,3,,标准,,1,,,,,,
电子元器件制造-水声换能器制造工人,,,,,,,131030,3,,标准,,1,,,,,,
电子元器件制造-专用继电器制造工人,,,,,,,131031,3,,标准,,1,,,,,,
电子元器件制造-高频电感器件制造工人,,,,,,,131032,2,,标准,,1,,,,,,
电子元器件制造-接插件制造工人,,,,,,,131033,4,,标准,,1,,,,,,
电子元器件制造-磁头制造工人,,,,,,,131034,2,,标准,,1,,,,,,
电子元器件制造-电子产品制版工人,,,,,,,131035,2,,标准,,1,,,,,,
电子元器件制造-印制电路制作工人,,,,,,,131036,3,,标准,,1,,,,,,
电子元器件制造-薄膜加热器制造工人,,,,,,,131037,3,,标准,,1,,,,,,
电子设备装备、调试、修理,,,,,,,,,,,,,,,,,,
电子设备装备、调试、修理-无线电设备机械装校工人,,,,,,,131038,4,,标准,,1,,,,,,
电子设备装备、调试、修理-电子设备装配工人,,,,,,,131039,4,,标准,,1,,,,,,
,,,电子设备装备、调试、修理-无线电调试工人,,,,,,131040,,2,,标准,,,1,,
,,,电子设备装备、调试、修理-雷达装配工人,,,,,,131041,,4,,标准,,,1,,
,,,电子设备装备、调试、修理-雷达调试工人,,,,,,131042,,2,,标准,,,1,,
,,,电子设备装备、调试、修理-电子精密机械装调工人,,,,,,131043,,2,,标准,,,1,,
,,,电子设备装备、调试、修理-电子计算机调试工人,,,,,,131044,,1,,标准,,,1,,
,,,电子设备装备、调试、修理-有线通信传输设备调试工人,,,,,,131045,,2,,标准,,,1,,
,,,电子设备装备、调试、修理-通讯交换设备调试工人,,,,,,131046,,2,,标准,,,1,,
,,,电子设备装备、调试、修理-电源调试工人,,,,,,131047,,2,,标准,,,1,,
,,,电子设备装备、调试、修理-激光机装调工人,,,,,,131048,,2,,标准,,,1,,
,,,电子设备装备、调试、修理-激光全息工人,,,,,,131049,,1,,标准,,,1,,
,,,电子设备装备、调试、修理-铁路通信组调工人,,,,,,131050,,3,,标准,,,1,,
,,,电子设备装备、调试、修理-铁路信号组调工人,,,,,,131051,,3,,标准,,,1,,
,,,电子设备装备、调试、修理-铁路电控组调工人,,,,,,131052,,4,,标准,,,1,,
电机业131,,,行政内勤人员,,,,,,131001,,1,,标准,,,1,,
,,,工程师,,,,,,131002,,3,,标准,,,1,,
,,,技师,,,,,,131003,,4,,标准,,,1,,
,,,领班、监工,,,,,,131004,,3,,标准,,,1,,
,,,有关高压电工作人员,,,,,,131007,,拒保,,25,,,1.5,,
,,,电机调试员,,,,,,131008,,5,,标准,,,1,,
,,,冷冻修理工,,,,,,131009,,5,,标准,,,1,,
,,,质检员,,,,,,131010,,2,,标准,,,1,,
,,,仓库管理员,,,,,,131011,,3,,标准,,,1,,
"塑胶,橡胶业141",,,行政内勤人员,,,,,,141001,,1,,标准,,,1,,
,,,工程师,,,,,,141002,,2,,标准,,,1,,
,,,技师,,,,,,141003,,3,,标准,,,1,,
,,,领班、监工,,,,,,141004,,2,,标准,,,1,,
,,,一般工人,,,,,,141005,,4,,标准,,,1,,
,,,塑胶射出成型工人(自动),,,,,,141006,,4,,标准,,,1,,
,,,塑胶射出成型工人(其他),,,,,,141007,,5,,标准,,,1,,
,,,质检员,,,,,,141008,,2,,标准,,,1,,
,,,塑料制品配料工人,,,,,,141009,,3,,标准,,,1,,
,,,橡胶制品配料工人,,,,,,141010,,2,,标准,,,1,,
,,,橡胶炼胶工人,,,,,,141011,,4,,标准,,,1,,
,,,橡胶成型工人,,,,,,141012,,4,,标准,,,1,,
,,,橡胶硫化工人,,,,,,141013,,4,,标准,,,1,,
,,,废胶再生工人,,,,,,141014,,4,,标准,,,1,,
水泥业(水泥、石膏、石灰)151,,,行政内勤人员,,,,,,151001,,1,,标准,,,1,,
,,,工程师,,,,,,151002,,2,,标准,,,1,,
,,,技师,,,,,,151003,,3,,标准,,,1,,
,,,领班、监工,,,,,,151004,,3,,标准,,,1,,
,,,工人,,,,,,151005,,5,,标准,,,1,,
,,,石棉瓦工人,,,,,,151006,,6,,75,,,拒保,,
,,,采掘工,,,,,,151007,,拒保,,75,,,拒保,,
,,,爆破工,,,,,,151008,,拒保,,拒保,,,拒保,,
化学原料及化学产品生产161,,,行政内勤人员,,,,,,161001,,1,,标准,,,1,,
,,,工程师,,,,,,161002,,2,,标准,,,1,,
,,,技师,,,,,,161003,,3,,标准,,,1,,
,,,一般工人,,,,,,161004,,5,,25,,,1.5,,
,,,电池制造(技师),,,,,,161005,,4,,25,,,1.5,,
,,,电池制造(工人),,,,,,161006,,5,,25,,,1.5,,
,,,硫酸、盐酸、硝酸制造工,,,,,,161007,,拒保,,拒保,,,拒保,,
,,,液化气体制造工人,,,,,,161008,,拒保,,50,,,拒保,,
,,,石油炼制生产人员,,,,,,161009,,5,,标准,,,1.5,,
炸药业171,,,火药爆竹制造及处理人员(包括爆竹、烟火制造工及所有现场办公人员),,,,,,171001,,拒保,,拒保,,,拒保,,
,,,矿厂采石,,,,,,171002,,拒保,,拒保,,,拒保,,
汽车、机车、自行车制造修理业181,,,行政内勤人员,,,,,,181001,,1,,标准,,,1,,
,,,工程师,,,,,,181002,,2,,标准,,,1,,
,,,技师,,,,,,181003,,3,,标准,,,1,,
,,,汽车、机车制造修理保养工人,,,,,,181004,,4,,标准,,,1,,
,,,自行车制造修理保养工人,,,,,,181005,,3,,标准,,,1,,
,,,领班、监工,,,,,,181006,,2,,标准,,,1,,
,,,试车人员,,,,,,181007,,5,,标准,,,1,,
,,,喷油（漆）工人,,,,,,181008,,3,,标准,,,1,,
纺织、成衣业、皮革、毛皮制品加工人员191,,,行政内勤人员,,,,,,191001,,1,,标准,,,1,,
,,,工程师,,,,,,191002,,2,,标准,,,1,,
,,,设计师,,,,,,191003,,1,,标准,,,1,,
,,,技师,,,,,,191004,,3,,标准,,,1,,
,,,领班、监工,,,,,,191005,,2,,标准,,,1,,
,,,制造工人,,,,,,191006,,3,,标准,,,1,,
,,,染整工人,,,,,,191007,,4,,25,,,1.5,,
,,,质检员,,,,,,191008,,2,,标准,,,1,,
,,,裁缝,,,,,,191009,,2,,标准,,,1,,
,,,制鞋工,,,,,,191010,,4,,标准,,,1,,
,,,制帽工,,,,,,191011,,3,,标准,,,1,,
,,,皮革加工,,,,,,191012,,4,,标准,,,1,,
,,,毛皮加工工,,,,,,191013,,3,,标准,,,1,,
造纸工业201,,,行政内勤人员,,,,,,201001,,1,,标准,,,1,,
,,,技师,,,,,,201002,,3,,标准,,,1,,
,,,领班、监工,,,,,,201003,,3,,标准,,,1,,
,,,造纸厂、纸浆厂工人,,,,,,201004,,4,,25,,,1.5,,
,,,纸箱制造工人,,,,,,201005,,4,,标准,,,1,,
,,,暴身于尘埃或有毒化合物之工人,,,,,,201006,,拒保,,50,,,2,,
,,,制浆备料工人,,,,,,201007,,5,,25,,,1.5,,
,,,制浆设备操作工人,,,,,,201008,,5,,25,,,1.5,,
,,,制浆废液回收利用工人,,,,,,201009,,5,,25,,,1.5,,
,,,纸张整饰工人,,,,,,201010,,3,,标准,,,1,,
,,,宣纸书画纸制作工人,,,,,,201011,,4,,标准,,,1,,
,,,纸盒制作工人,,,,,,201012,,4,,标准,,,1,,
家具制造业211,,,行政内勤人员,,,,,,211001,,1,,标准,,,1,,
,,,技师,,,,,,211002,,3,,标准,,,1,,
,,,领班、监工,,,,,,211003,,3,,标准,,,1,,
,,,家具制造、装配、修理工人,,,,,,211004,,4,,标准,,,1,,
,,,机器木工,,,,,,211005,,6,,25,,,1.5,,
,,,油漆工,,,,,,211006,,5,,50,,,1.5,,
,,,金属家具制造工人,,,,,,211007,,4,,标准,,,1,,
,,,金属家具修理工人,,,,,,211008,,3,,标准,,,1,,
手工艺品业221,,,竹木制手工艺品加工、雕刻工人,,,,,,221001,,3,,标准,,,1,,
,,,金属手工艺品加工、雕刻工人,,,,,,221002,,4,,标准,,,1,,
,,,布类制品工艺品加工工人,,,,,,221003,,2,,标准,,,1,,
,,,矿石手工艺品加工工人,,,,,,221004,,4,,标准,,,1,,
电线电缆业231,,,技师,,,,,,231001,,3,,标准,,,1,,
,,,工人(非登高作业),,,,,,231002,,4,,标准,,,1,,
,,,工人(登高作业),,,,,,231003,,4,,25,,,1.5,,
,,,"监察(工作指导,无需亲自操作,非登高)",,,,,,231004,,4,,标准,,,1,,
食品饮料制造业241,,,冰块制造,,,,,,241001,,3,,标准,,,1,,
,,,技师,,,,,,241002,,2,,标准,,,1,,
,,,制造工人,,,,,,241003,,3,,标准,,,1,,
,,,包装工人,,,,,,241004,,2,,标准,,,1,,
,,,碾米厂操作人员,,,,,,241005,,4,,标准,,,1,,
,,,仓库管理员,,,,,,241006,,2,,标准,,,1,,
,,,粮油生产加工,,,,,,,,,,,,,,,
,,,粮油生产加工-制米工人,,,,,,241007,,3,,标准,,,1,,
,,,粮油生产加工-制粉工人,,,,,,241008,,3,,标准,,,1,,
,,,粮油生产加工-制油工人,,,,,,241009,,3,,标准,,,1,,
,,,粮油食品制作,,,,,,,,,,,,,,,
,,,粮油食品制作-糕点、面包烘焙工人,,,,,,241010,,2,,标准,,,1,,
,,,粮油食品制作-糕点装饰工人,,,,,,241011,,1,,标准,,,1,,
,,,粮油食品制作-米面主食制作工人,,,,,,241012,,3,,标准,,,1,,
,,,粮油食品制作-油脂制品工人,,,,,,241013,,2,,标准,,,1,,
,,,粮油食品制作-植物蛋白制作工人,,,,,,241014,,2,,标准,,,1,,
,,,粮油食品制作-豆制品制作工人,,,,,,241015,,3,,标准,,,1,,
,,,糖制品,,,,,,,,,,,,,,,
,,,糖制品-食糖制造工人,,,,,,241016,,4,,标准,,,1,,
,,,糖制品-糖果制造工人,,,,,,241017,,3,,标准,,,1,,
,,,糖制品-巧克力制造工人,,,,,,241018,,3,,标准,,,1,,
,,,乳品、冷食、罐头、饮料制作,,,,,,,,,,,,,,,
,,,乳品、冷食、罐头、饮料制作-乳品预处理工人,,,,,,241019,,2,,标准,,,1,,
,,,乳品、冷食、罐头、饮料制作-乳品加工工人,,,,,,241020,,3,,标准,,,1,,
,,,乳品、冷食、罐头、饮料制作-冷食品制作工人,,,,,,241021,,3,,标准,,,1,,
,,,乳品、冷食、罐头、饮料制作-速冻食品制作工人,,,,,,241022,,3,,标准,,,1,,
,,,乳品、冷食、罐头、饮料制作-食品罐头加工工人,,,,,,241023,,3,,标准,,,1,,
,,,乳品、冷食、罐头、饮料制作-饮料制作工人,,,,,,241024,,3,,标准,,,1,,
,,,酿酒,,,,,,,,,,,,,,,
,,,酿酒-酒品酿造工人,,,,,,241025,,3,,标准,,,1,,
,,,酿酒-酒精制造工人,,,,,,241026,,3,,标准,,,1,,
,,,酿酒-酒品标签粘贴、包装工人,,,,,,241027,,2,,标准,,,1,,
,,,食品添加剂、调味品制作,,,,,,,,,,,,,,,
,,,食品添加剂、调味品制作-酶制剂制造工人,,,,,,241028,,3,,标准,,,1,,
,,,食品添加剂、调味品制作-柠檬酸制造工人,,,,,,241029,,3,,标准,,,1,,
,,,食品添加剂、调味品制作-酱油、酱类制作工人,,,,,,241030,,3,,标准,,,1,,
,,,食品添加剂、调味品制作-食醋制作工人,,,,,,241031,,3,,标准,,,1,,
,,,食品添加剂、调味品制作-酱腌菜制作工人,,,,,,241032,,3,,标准,,,1,,
,,,食品添加剂、调味品制作-食用调料制作工人,,,,,,241033,,3,,标准,,,1,,
,,,食品添加剂、调味品制作-味精制作工人,,,,,,241034,,3,,标准,,,1,,
,,,屠宰加工,,,,,,,,,,,,,,,
,,,屠宰加工-猪、牛、羊屠宰加工工人,,,,,,241035,,3,,标准,,,1,,
,,,屠宰加工-肠衣加工工人,,,,,,241036,,3,,标准,,,1,,
,,,屠宰加工-禽类屠宰加工工人,,,,,,241037,,3,,标准,,,1,,
,,,肉、蛋食品加工,,,,,,,,,,,,,,,
,,,肉、蛋食品加工-熟肉制品加工工人,,,,,,241038,,3,,标准,,,1,,
,,,肉、蛋食品加工-蛋品及再制蛋品加工工人,,,,,,241039,,2,,标准,,,1,,
,,,饲料生产加工,,,,,,,,,,,,,,,
,,,饲料生产加工-饲料原料清理上料工人,,,,,,241040,,2,,标准,,,1,,
,,,饲料生产加工-饲料粉碎工人,,,,,,241041,,3,,标准,,,1,,
,,,饲料生产加工-饲料配料混合工人,,,,,,241042,,2,,标准,,,1,,
,,,饲料生产加工-饲料制料工人,,,,,,241043,,3,,标准,,,1,,
,,,饲料生产加工-饲料添加剂预混工人,,,,,,241044,,2,,标准,,,1,,
,,,饲料生产加工-饲料厂中控室操作人员,,,,,,241045,,1,,标准,,,1,,
家电制造业251,,,技师,,,,,,251001,,2,,标准,,,1,,
,,,一般制造工人,,,,,,251002,,4,,标准,,,1,,
,,,装配工,,,,,,251003,,3,,标准,,,1,,
,,,包装工,,,,,,251004,,3,,标准,,,1,,
,,,焊接工,,,,,,251005,,5,,标准,,,1,,
,,,冲床工,,,,,,251006,,5,,标准,,,1,,
,,,剪床工,,,,,,251007,,5,,标准,,,1,,
,,,铣床工,,,,,,251008,,5,,标准,,,1,,
,,,铸造工,,,,,,251009,,5,,标准,,,1,,
,,,车床工(全自动),,,,,,251010,,5,,标准,,,1,,
,,,车床工(其他),,,,,,251011,,6,,标准,,,1,,
,,,家电维修工(非室外高空作业),,,,,,251012,,2,,标准,,,1,,
,,,电子计算机维修工,,,,,,251013,,1,,标准,,,1,,
玻璃制造业261,,,行政内勤人员,,,,,,261001,,1,,标准,,,1,,
,,,工人,,,,,,261002,,4,,标准,,,1,,
,,,技师,,,,,,261003,,4,,标准,,,1,,
,,,监工,,,,,,261004,,4,,标准,,,1,,
,,,玻璃制品装饰加工,,,,,,261005,,5,,标准,,,1,,
陶器砖窑制造业271,,,行政内勤人员,,,,,,271001,,1,,标准,,,1,,
,,,工人,,,,,,271002,,4,,标准,,,1,,
,,,砖块制造工,,,,,,271003,,4,,标准,,,1,,
清洁剂制造业281,,,行政内勤人员,,,,,,281001,,1,,标准,,,1,,
,,,工人,,,,,,281002,,4,,标准,,,1,,
烟草业291,,,行政内勤人员,,,,,,291001,,1,,标准,,,1,,
,,,工人,,,,,,291002,,4,,标准,,,1,,
生物制品业301,,,行政内勤人员,,,,,,301001,,1,,标准,,,1,,
,,,工人,,,,,,301002,,3,,标准,,,1,,
,,,试验员,,,,,,301003,,2,,标准,,,1,,
药厂311,,,行政内勤人员,,,,,,311001,,1,,标准,,,1,,
,,,工人,,,,,,311002,,3,,标准,,,1,,
,,,试验员,,,,,,311003,,2,,标准,,,1,,
文具制造业321,,,行政内勤人员,,,,,,321001,,1,,标准,,,1,,
,,,制造工人,,,,,,321002,,4,,标准,,,1,,
,,,装配工人,,,,,,321003,,2,,标准,,,1,,
,,,检验工人,,,,,,321004,,2,,标准,,,1,,
"石棉制造业322",,,工人,,,,,,322001,,5,,25,,,1.5,,
,,,技师,,,,,,322002,,5,,25,,,1.5,,
,,,领班，监工,,,,,,322003,,5,,25,,,1.5,,
航天业323,,,航空产品装备、调试、试验人员,,,,,,,,,,,,,,,
航天业323,,,航空产品装备、调试、试验人员-飞机试验工人,,,,,,323001,,2,,标准,,,1,,
,,,航空产品装备、调试、试验人员-机载导弹例行试验工人,,,,,,323002,,4,,标准,,,1,,
,,,航空产品装备、调试、试验人员-航空发动机试验工人,,,,,,323003,,2,,标准,,,1,,
,,,航空产品装备、调试、试验人员-飞机螺旋桨试验工人,,,,,,323004,,2,,标准,,,1,,
,,,航空产品装备、调试、试验人员-飞机、发动机附件试验工人,,,,,,323005,,2,,标准,,,1,,
,,,航空产品装备、调试、试验人员-航空环控救生装备试验工人（地面试验,,,,,,323006,,2,,标准,,,1,,
,,,航空产品装备、调试、试验人员-航空环控救生装备试验工人（空中试验,,,,,,323007,,拒保,,拒保,,,拒保,,
,,,,,航空产品装备、调试、试验人员-航空仪表试验工人,,,,,,323008,,2,,,标准,,1
,,,,,航空产品装备、调试、试验人员-航空电机电器试验设备调试工人,,,,,,323009,,2,,,标准,,1
,,,,,导弹卫星装备测试人员,,,,,,,,,,,,,
,,,,,导弹卫星装备测试人员-惯性器件装配工人,,,,,,323010,,4,,,标准,,1
,,,,,导弹卫星装备测试人员-伺服机构装配调试工人,,,,,,323011,,4,,,标准,,1
,,,,,导弹卫星装备测试人员-导弹部段装配工人,,,,,,323012,,5,,,25,,1.5
,,,,,导弹卫星装备测试人员-航天器引信装配工人,,,,,,323013,,6,,,50,,1.5
,,,,,导弹卫星装备测试人员-弹头装配工人,,,,,,323014,,5,,,25,,1.5
,,,,,导弹卫星装备测试人员-导弹总体装配工人,,,,,,323015,,5,,,25,,1.5
,,,,,导弹卫星装备测试人员-卫星总体装配工人,,,,,,323016,,4,,,标准,,1
,,,,,火箭发动机装配试验人员,,,,,,,,,,,,,
,,,,,火箭发动机装配试验人员-液体火箭发动机装配试验工人,,,,,,323017,,4,,,标准,,1
,,,,,火箭发动机装配试验人员-固体火箭发动机装配试验工人,,,,,,323018,,4,,,标准,,1
新闻广告业33,"新闻业,杂志业331",,,,内勤人员,,,,,,331001,,1,,,标准,,1
,,,,,外勤记者,,,,,,331002,,2,,,标准,,1
,,,,,摄影记者,,,,,,331003,,4,,,标准,,1
,,,,,战地记者,,,,,,331004,,拒保,,,拒保,,拒保
,,,,,市场推销人员,,,,,,331005,,2,,,标准,,1
,,,,,排版工,,,,,,331006,,2,,,标准,,1
,,,,,装订工,,,,,,331007,,3,,,标准,,1
,,,,,印刷工,,,,,,331008,,3,,,标准,,1
,,,,,送报员,,,,,,331009,,3,,,标准,,1
,新闻广告业332,,,,一般内勤人员,,,,,,332001,,1,,,标准,,1
,,,,,业务联系人员,,,,,,332002,,2,,,标准,,1
,,,,,广告影片拍摄录制人员,,,,,,332003,,2,,,标准,,1
,,,,,广告招牌制作架设人员,,,,,,332004,,6,,,25,,1.5
,,,,,安装光管及外勤维修人员,,,,,,332005,,4,,,25,,1.5
卫生、保健业34,医院341,,,,一般医务行政人员,,,,,,341001,,1,,,标准,,1
,,,,,一般医生(无需作外科手术),,,,,,341002,,1,,,标准,,1
,,,,,手术科室医生、麻醉师,,,,,,341003,,2,,,标准,,1
,,,,,护士长,,,,,,341004,,1,,,标准,,1
,,,,,护士,,,,,,341005,,1,,,标准,,1
,,,,,牙医,,,,,,341006,,1,,,标准,,1
,,,,,精神病科医生、看护及护士,,,,,,341007,,3,,,标准,,1
,,,,,兽医,,,,,,341008,,3,,,标准,,1
,,,,,杂工,,,,,,341009,,2,,,标准,,1
,,,,,清洁工,,,,,,341010,,2,,,标准,,1
,,,,,助产士,,,,,,341011,,2,,,标准,,1
,,,,,消毒员,,,,,,341012,,3,,,标准,,1
,保健人员342,,,,病理检查员,,,,,,342001,,1,,,标准,,1
,,,,,实验室、病理室工作人员,,,,,,342002,,2,,,标准,,1
,,,,,放射线技术人员,,,,,,342003,,2,,,标准,,1
,,,,,放射线维修人员,,,,,,342004,,4,,,标准,,1
,,,,,骨伤科治疗人员、按摩师（包括医院内理疗和盲人按摩）,,,,,,342005,,2,,,标准,,1
,,,,,监狱、看守所医生、护理人员,,,,,,342006,,2,,,标准,,1
娱乐业35,电影业、电视业351,,,,制片人,,,,,,351001,,1,,,标准,,1
,,,,,影片商（行政人员）,,,,,,351002,,1,,,标准,,1
,,,,,编剧,,,,,,351003,,1,,,标准,,1
,,,,,一般演员(导演),,,,,,351004,,2,,,标准,,1
,,,,,配音演员,,,,,,351005,,1,,,标准,,1
,,,,,武打演员、特技演员,,,,,,351006,,拒保,,,50,,拒保
,,,,,化妆师,,,,,,351007,,1,,,标准,,1
,,,,,场记,,,,,,351008,,2,,,标准,,1
,,,,,摄影工作人员,,,,,,351009,,2,,,标准,,1
,,,,,灯光及音响效果工作人员,,,,,,351010,,2,,,标准,,1
,,,,,冲片、洗片工作人员,,,,,,351011,,2,,,标准,,1
,,,,,电视记者,,,,,,351012,,2,,,标准,,1
,,,,,机械工、电工,,,,,,351013,,4,,,标准,,1
,,,,,布景搭设人员,,,,,,351014,,4,,,标准,,1
,,,,,电影院售票员,,,,,,351015,,1,,,标准,,1
,,,,,电影院放映及服务人员,,,,,,351016,,2,,,标准,,1
,,,,,跑片员,,,,,,351017,,5,,,25,,1.5
,,,,,武术指导,,,,,,351018,,3,,,标准,,1
,,,,,录音师,,,,,,351019,,1,,,标准,,1
,,,,,剪辑师,,,,,,351020,,1,,,标准,,1
,,,,,美工师,,,,,,351021,,1,,,标准,,1
,,,,,道具师,,,,,,351022,,2,,,标准,,1
,,,,,影视服装员,,,,,,351023,,1,,,标准,,1
,,,,,影视舞台烟火特效员,,,,,,351024,,3,,,标准,,1
,,,,,影视动画制作人员,,,,,,351025,,1,,,标准,,1
,,,,,影视木偶制作人员,,,,,,351026,,2,,,标准,,1
,,,,,电影洗印人员,,,,,,351027,,2,,,标准,,1
,,,,,拷贝检片员,,,,,,351028,,2,,,标准,,1
,,,,,拷贝字幕员,,,,,,351029,,2,,,标准,,1
,高尔夫球场352,,,,教练,,,,,,352001,,2,,,标准,,1
,,,,,球场保养及维护工人,,,,,,352002,,2,,,标准,,1
,,,,,球童,,,,,,352003,,2,,,标准,,1
,保龄球馆353,,,,计分员,,,,,,353001,,1,,,标准,,1
,,,,,柜台人员,,,,,,353002,,1,,,标准,,1
,,,,,机械修护工人,,,,,,353003,,3,,,标准,,1
,,,,,清洁工人,,,,,,353004,,2,,,标准,,1
,,,,教练,,,,,353005,,2,,标准,,,1,,
