泰康在线职业分类表,,,,,
,,,,,
大分类,中分类,,小分类,,职业等级
,00403,盐业生产,00403001,海盐晒制工,3
,,,00403002,海盐采收工,2
,,,00403005,湖盐脱水工,3
,,,00403009,真空制盐工,3
,,,00403010,冷冻提硝工,3
,,,00403011,苦卤综合利用工,3
,,,00403012,精制盐工,3
,00404,矿物处理人员,00404001,筛选破碎工,3
,,,00404002,重力选矿工,3
,,,00404003,浮选工,2
,,,00404004,磁选工,2
,,,00404005,选矿脱水工,2
,,,00404011,动力配煤工,2
,,,00404012,工业型煤加工制作人员,2
,00405,"坑外作业
",00405001,生产管理人员（不到现场）,1
,,,00405006,采砂\石厂管理人员,3
,,,00405024,矿山检查验收工,3
,,,00405025,矿灯、自救器管理工,2
,,,00405026,生产管理人员（现场监督）,3
,,,00405027,经营者(不到现场者),1
,,,00405028,经营者(现场监督者),3
,,,00405029,经理人员,2
,,,00405033,矿工头灯充电人员,2
,,,00405041,生产技术管理人员（非煤矿山）,3
,0406,陆上油矿开采业,00406043,行政人员,1
,,,00406044,工程师,3
,,,00406050,综合录井工,3
,,,00406051,气测工,3
,,,00406052,注水员,3
,,,00406056,天然气净化工人,3
,,,00406057,油气输送工人,3
,,,00406059,采油化验工,3
,00407,海上油矿开采业,00407001,行政人员,1
005运输业,00501,公路运输及设备操作,00501001,路桥收费站收费员,2
,,,00501003,公务小客车司机,3
,,,00501004,非营运大客车司机,3
,,,00501005,出租车、救护车司机,3
,,,00501006,游览车司机及服务员,3
,,,00501007,客运车司机、服务员、售票员（短途）,3
,,,00501009,小型客货两用车司机,3
,,,00501010,非营运货车司机、随车工人、搬家工人,3
,,,00501012,人力三轮车夫,3
,,,00501015,柜台售票员,1
,,,00501021,缆车操作员,3
,,,00501023,执摩托车驾照者（非营运）,3
,,,00501024,汽车货运站务员,2
,,,00501025,汽车运输调度员,1
,,,00501026,车辆保管人员,2
,,,00501027,客运车稽核人员,1
,,,00501028,其他公路道路运输服务人员,3
,,,00501029,计程，货运行业负责人（不驾驶）,1
,,,00501030,外务员（非驾驶人员）,2
,,,00501031,公交车司机及售票员,3
,,,00501032,内勤工作人员,1
,00502,铁路运输及设备操作,00502001,铁路运输工程技术人员,2
,,,00502002,铁路机务工程技术人员,2
,,,00502003,铁路车辆工程技术人员,2
,,,00502004,铁路电务工程技术人员,2
,,,00502005,铁路站长,2
,,,00502006,行包运输服务员,2
,,,00502007,车站货运作业组织员,2
,,,00502008,铁路票房工作人员,2
,,,00502009,车站检票员,1
,,,00502010,铁路播音员,1
,,,00502011,铁路一般内勤人员,2
,,,00502012,铁路服务台人员,1
,,,00502013,车站客运服务员,1
,,,00502014,铁路车站清洁工人,2
,,,00502015,旅客列车乘务员,2
,,,00502016,机车乘务员,2
,,,00502017,机车整备员,2
,,,00502020,铁路修护厂厂长,1
,,,00502021,铁路修护厂内勤,1
,,,00502022,铁路建筑工程技术人员,3
,,,00502023,铁路修护厂技工,3
,,,00502025,车号员,1
,,,00502026,铁路平交道看护人员,2
,,,00502027,车站货运员,2
,,,00502029,驼峰设备操作员,3
,,,00502030,求援机械操作员,2
,,,00502031,列车轴温检测员,2
,,,00502033,机车调度员,3
,,,00502034,车站调车作业员,3
,,,00502035,发电车乘务员,3
,,,00502036,车站运转作业计划员,2
,,,00502038,铁路机车驾驶员,3
,,,00502039,地铁\轻轨驾驶员,3
,,,00502040,地铁月台工作人员,2
,,,00502041,车站治安巡视人员,3
,,,00502042,铁路（轻轨）行李搬运工人,2
,,,00502043,铁路（轻轨）机车燃料填充员,3
,,,00502046,铁路（轻轨）货运：领班,3
,,,00502047,铁路（轻轨）押运员,3
,,,00502048,乘警,3
,,,00502049,随车人员(技术人员除外),2
,,,00502050,修设厂工程师,2
,,,00502053,仓库管理员,3
,,,00503003,客货轮大副（内河）,3
,,,00503004,客货轮二副（内河）,3
,,,00503005,客货轮三副（内河）,3
,,,00503006,客货轮大管轮（内河）,3
,,,00503007,客货轮二管轮（内河）,3
,,,00503008,客货轮三管轮（内河）,3
,,,00503009,客货轮报务员（内河）,3
,,,00503010,客货轮事务长（内河）,3
,,,00503011,客货轮医务人员及一般船员（内河）,3
,,,00503024,仓库管理人员、理货员（内河）,3
,,,00503025,船舶引航员（内河）,3
,,,00503026,关务人员（内河）,3
,,,00503032,船舶业务员（内河）,3
,,,00503033,港口客运员（内河）,3
,,,00503093,港口客运人员（远洋）,3
,,,00503097,稽查人员（远洋）,3
,,,00503101,船舶加油（远洋）,3
,,,00503102,汽车运用工程技术人员,2
,,,00503103,船舶运用工程技术人员,2
,,,00503104,水上交通工程技术人员,2
,,,00503106,船舶检验工程技术人员,2
,,,00504005,航空站站长,1
,,,00504006,航空站播音员,1
,,,00504007,运输地面服务人员,1
,,,00504008,一般内勤人员,1
,,,00504009,塔台工作人员,1
,,,00504010,关务人员,1
,,,00504011,检查人员,2
,,,00504012,运务人员,2
,,,00504013,清洁工人（航空大厦内）,2
,,,00504015,航空公司清洁工（机舱内）,2
,,,00504016,机场内交通车司机,2
,,,00504017,行李货运搬运工人,3
,,,00504019,飞机外壳洗刷人员,3
,,,00504020,跑道维护工,3
,,,00504023,航空公司票务人员,1
,,,00504024,航空公司机场柜台工作人员,1
,,,00504025,航空货运外务员,2
,,,00504026,航空货运理货员,2
,,,00504032,航空通信雷达导航员,1
,,,00504033,航空通信雷达设备维护保养员,3
,,,00504036,航空器材员,3
,,,00504037,航空气象员,1
,,,00504038,缉私人员,3
,,,00504040,雷达、无线电操作员,3
,,,00504041,办事处人员,1
,,,00504042,清舱员,2
,,,00504043,航空一般内勤人员,1
,,,00504044,航空货运报关人员,2
,,,00504055,航空工程技术人员、民用航空工程技术人员、航空业工作人员,3
,,,00504056,航空运输地面人员、民用航空设备操作机及有关人员,2
006建筑工程业,00601,建筑公司（土木工程）,00601001,内勤人员,1
,,,00601002,建筑师,1
,,,00601003,现场技术检查员,2
,,,00601005,木匠（室内）,3
,,,00601019,负责人（不亲自作业不在现场）,1
,,,00601020,负责人（不亲自作业偶现场）,2
,,,00601021,负责人（亲自作业视具体性质）,3
,,,00601022,外勤人员,3
,,,00601023,测量人员,3
,,,00601024,工程人员,3
,,,00601025,工地服务人员,3
,,,00601037,"引导参观工地服务人员（不亲自作业,否则参照具体工种）",2
,,,00601038,"承包商（土木建筑，“不亲自作业,偶尔去现场巡视,若亲自作业请参照具体工种”）",2
,,,00601048,地毯之装设人员,2
,,,00601049,监工（装饰行业）,2
,,,00601052,室内成套设施装饰工,3
,,,00601054,装饰装修设计制图人员,1
,,,00601058,水暧工,3
,00602,建筑物维修及管理人员,00602001,清洁工人,3
,,,00602005,工程师,3
,00603,铁路道路铺设,00603001,现场技术检查员,3
,,,00603004,工程师,3
,,,00603005,领班、监工,3
,,,00603007,现场勘测人员（非山区）,3
,,,00603015,铁路（轻轨）平交道看守人员,2
,,,00603016,铁路（轻轨）修护厂技工,3
,,,00604002,操作员（不包括矿场使用者）,2
,00605,装璜业,00605001,设计人员,1
,,,00605004,地毯装设人员,2
,,,00605005,承包商、监工,2
,,,00606020,索道运输机械操作工人,3
,,,00607003,地质探测员（平地）,2
,,,00607004,大地、工程测量工程技术人员,3
,,,00607005,摄影测量与遥感工程技术人员,2
,,,00607006,地图制图与印刷工程技术人员,1
,,,00607007,海洋测绘工程技术人员（非海上作业）,2
,00608,水泥(含石灰\石膏),00608001,工程师,2
,,,00608002,技术人员,2
,,,00608003,领班,3
,00609,墙体屋面材料生产,00609001,砖\瓦生产工人,3
,,,00609003,纸面石膏板生产工人,3
,,,00609004,石膏浮雕板工人,3
,,,00609005,监工(不参与制造过程),2
,00610,防水\保温\吸音材料生产,00610001,油毡生产工人,3
,,,00610002,高分子防水卷材生工人,3
,00611,耐火材料生产,00611001,耐火材料技师,2
,,,00611002,耐火原材料加工工人,3
,,,00611003,耐火材料成型工人,3
007制造业,00701,冶金工程技术人员,00701001,领班、监工,3
,,,00701003,冶炼工程技术人员,2
,,,00701004,轧制工程技术人员,2
,,,00701005,焦化工程技术人员,2
,,,00701006,金属材料工程技术人员,2
,,,00701007,耐火材料工程技术人员,2
,,,00701008,碳素材料工程技术人员,2
,,,00701009,冶金热能工程技术人员,2
,00714,机械制造加工业,00714001,机械设计工程技术人员,2
,,,00714002,机械制造工程技术人员,2
,,,00714003,仪器仪表工程技术人员,2
,,,00714004,设备工程技术人员,2
,,,00714005,企业负责人,1
,,,00714006,领班、监工,3
,,,00714007,模具设计人员,3
,,,00714048,真空干燥处理工人,3
,,,00714062,装配工、品管人员,2
,00715,电子\电子元器件工程技术人员,00715001,电子材料工程技术人员,2
,,,00715002,电子元器件工程技术人员,2
,,,00715003,雷达系统工程技术人员,2
,,,00715004,广播视听设备工程技术人员,2
,,,00715005,电子仪器与测量工程技术人员,2
,,,00716007,液晶显示器件制造工,3
,,,00716008,单晶片加工工,3
,,,00716009,半导体芯片制造工,3
,,,00716010,半导体分立器件\集成电路装调工,2
,,,00716011,电子用水制备工,3
,,,00716015,石英晶体生长设备操作工,2
,,,00716016,压电石英晶片加工工,3
,,,00716017,石英晶体元器件制造工,3
,,,00716018,电声器件制造工,3
,,,00716019,水声换能器制造工,3
,,,00716020,专用继电器制造工,3
,,,00716021,高频电感器件制造工,2
,,,00716023,磁头制造工,2
,,,00716024,电子产品制版工,2
,,,00716025,印制电路制作工,3
,,,00716026,薄膜加热器制造工,3
,,,00716027,激光头制造工,3
,,,00716028,领班、监工,2
,,,00716029,装配工,3
,,,00716030,修理工,3
,,,00716031,制造工人,3
,,,00716032,质量检验人员,2
,,,00716033,包装工人,3
,00717,电机业,00717001,工程师,2
,,,00717002,领班、监工,2
,,,00717005,质检员,3
,,,00717006,电机调试员,3
,,,00718006,技师,3
,,,00719003,无线电调试工,2
,,,00719007,电子计算机调试工,3
,,,00719008,有线通信传输设备调试工,3
,,,00719009,通讯交换设备调试工,3                                             
,,,00719010,电源调试工,3                                             
,,,00719011,激光机装调工,3                                             
,,,00719012,激光全息工,3
,,,00719013,铁路通信组调工,3
,,,00719014,铁路信号组调工,3
,,,00719016,集成电路测试员,3
,,,00720002,家电用品维修人员,3
,,,00720003,空气调节器之装修人员（不需要在高空作业）,3
,,,00720005,电子计算机维修工,2
,,,00723010,技师,3
,00724,电子专用设备装配调试,00724001,电子专用设备装调工,3
,,,00724002,真空测试工,3
,00725,仪器仪表装配,00725001,仪器仪表元器件装调工,3
,,,00725002,力学仪器仪表装配工,3
,,,00725003,电子仪器仪表装配工,3
,,,00725004,光电仪器仪表装调工,3
,,,00725005,分析仪器仪表装配工,3
,,,00725006,计时仪器仪表装配工,3
,,,00725007,工业自动化仪器仪表与装置装配工,3
,,,00725008,电工仪器仪表装配工,3
,,,00725011,仪器仪表装配工,3
,,,00725012,仪器仪表装调工,3
,,,00725013,仪表仪器制造人员,2
,,,00725014,仪表仪器修理人员,3
,,,00725015,仪器仪表检验工,2
,,,00726009,助动车\自行车装配工,3
,,,00726010,助动车\自行车修理工,3
,,,00726011,工程师,2
,,,00726012,技师,3
,,,00726015,工程师,2
,,,00726017,领班、监工,2
,,,00726020,汽车加气站操作工,3
,,,00728005,缝纫机制造装配工,3
,,,00728006,办公小机械制造装配工,3
,,,00728007,技师,3
,,,00728011,家电维修（非高空）,2
,,,00728012,其他家用电器安装与维修,3
,,,00728013,石英晶体生长设备操作工人,2
,,,00728014,包装工人,3
,,,00736007,工程师,3
,00737,航空产品装配\调试\试验,00737001,飞机设计工程技术人员,3
,,,00737002,飞机制造工程技术人员,3
,,,00737003,飞机发动机设计工程技术人员,3
,,,00737004,飞机发动机制造工程技术人员,3
,,,00737008,航空发动机装配工,3
,,,00737013,航空\飞机仪表装配工,3
,,,00737014,航空装配平衡工,3
,,,00737015,飞机无线电设备安装调试工,3
,,,00737018,飞机透明件制造胶接装配工,3
,,,00737027,航空仪表试验工,2
,,,00737029,航天器环境试验工人,3
