;A;A
age;have;not
0-5;690.33;1377
6-10;281;519.67
11-15;165;277
16-20;151.67;247.67
21-25;206.33;359.67
26-30;269;493
31-35;343.67;689
36-40;437;1006.33
41-45;521;1402.33
46-50;698.33;2130.33
51-55;893;2847.67
56-60;1169;3665
61-65;1597;4938.33
66-70;2045;6329
71-75;2709;8389
76-80;3359.67;10339.67
