主合同被保险人与附加合同被保险人为非同一人,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
《工银安盛人寿附加豁免保险费定期寿险（2016）》保费表,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,

"交费期间投保年龄",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29
28,1.53,2.07,2.6,3.19,3.79,4.37,4.93,5.51,6.43,7.06,7.72,8.42,9.14,9.9,10.7,11.54,12.43,13.36,14.55,15.6,16.71,17.87,19.1,,,,,,0.68,0.91,1.13,1.38,1.63,1.87,2.1,2.34,2.72,2.98,3.25,3.54,3.84,4.15,4.49,4.84,5.22,5.61,6.12,6.56,7.04,7.54,8.07,,,,,
29,1.62,2.19,2.76,3.39,4.03,4.65,5.25,5.87,6.85,7.54,8.25,9,9.79,10.62,11.49,12.41,13.38,14.4,15.71,16.86,18.07,19.35,20.69,,,,,,0.7,0.94,1.18,1.44,1.7,1.96,2.2,2.46,2.86,3.15,3.44,3.75,4.08,4.43,4.8,5.18,5.59,6.03,6.58,7.08,7.6,8.15,8.73,,,,,
30,1.72,2.33,2.93,3.6,4.29,4.96,5.6,6.27,7.33,8.07,8.85,9.66,10.52,11.43,12.38,13.39,14.45,15.57,17,18.26,19.59,20.99,22.46,,,,,,0.73,0.98,1.23,1.51,1.79,2.06,2.33,2.6,3.04,3.34,3.67,4.01,4.37,4.75,5.15,5.58,6.03,6.51,7.12,7.66,8.23,8.84,9.48,,,,,
31,1.83,2.48,3.13,3.85,4.59,5.3,5.99,6.72,7.86,8.66,9.51,10.4,11.34,12.33,13.37,14.48,15.64,16.88,18.44,19.82,21.28,22.8,24.41,,,,,,0.77,1.03,1.3,1.59,1.9,2.19,2.47,2.77,3.24,3.58,3.93,4.3,4.7,5.12,5.56,6.03,6.53,7.06,7.73,8.32,8.95,9.62,10.32,,,,,
32,1.96,2.65,3.34,4.12,4.91,5.68,6.43,7.22,8.45,9.33,10.25,11.22,12.25,13.33,14.48,15.7,16.98,18.33,20.04,21.56,23.15,24.81,26.56,,,,,,0.81,1.09,1.38,1.69,2.02,2.33,2.64,2.97,3.48,3.85,4.23,4.64,5.08,5.54,6.03,6.55,7.1,7.68,8.42,9.07,9.76,10.49,11.26,,,,,
33,2.09,2.84,3.58,4.41,5.27,6.11,6.92,7.77,9.11,10.07,11.08,12.14,13.27,14.46,15.72,17.06,18.46,19.95,21.82,23.48,25.21,27.03,28.92,,,,,,0.86,1.16,1.47,1.81,2.16,2.5,2.84,3.2,3.75,4.16,4.58,5.03,5.51,6.02,6.56,7.14,7.74,8.38,9.19,9.91,10.67,11.47,12.31,,,,,
34,2.24,3.05,3.85,4.74,5.67,6.58,7.46,8.39,9.85,10.9,12,13.18,14.41,15.73,17.11,18.58,20.12,21.75,,,,,,,,,,,0.92,1.25,1.57,1.94,2.33,2.7,3.07,3.46,4.07,4.51,4.98,5.48,6.01,6.57,7.17,7.8,8.47,9.18,,,,,,,,,,
35,2.41,3.28,4.14,5.11,6.12,7.1,8.07,9.09,10.68,11.83,13.04,14.33,15.7,17.14,18.66,20.27,21.96,23.74,,,,,,,,,,,0.99,1.34,1.7,2.1,2.52,2.93,3.33,3.76,4.43,4.92,5.44,5.99,6.58,7.2,7.86,8.55,9.29,10.06,,,,,,,,,,
36,2.6,3.54,4.47,5.52,6.62,7.69,8.75,9.87,11.61,12.87,14.21,15.63,17.13,18.72,20.39,22.15,24,25.94,,,,,,,,,,,1.06,1.45,1.84,2.28,2.74,3.19,3.63,4.11,4.84,5.38,5.96,6.57,7.21,7.9,8.62,9.39,10.2,11.05,,,,,,,,,,
37,2.8,3.82,4.84,5.99,7.19,8.36,9.52,10.75,12.66,14.05,15.53,17.09,18.74,20.48,22.31,24.24,26.25,28.36,,,,,,,,,,,1.15,1.58,2,2.48,2.99,3.48,3.98,4.5,5.31,5.91,6.54,7.22,7.93,8.69,9.48,10.32,11.21,12.14,,,,,,,,,,
